quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,14,25,0,1,10,ORL,TUC,ORL39,run,7,0,212 Pro Run 23 Shotgun,212,Pro,Shotgun,1-10poss,True 34,Regular Personnel,Man to Man,No Blitz,None,Spy,Normal,OLB Arnie Manderscheid,DE Raymond D'Arms,,None,None,False,2,3,1,,,,,0,2109,Conference Finals,Tucker,GA,45,calm,fair,61,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,53,0,2,3,ORL,TUC,ORL46,run,0,0,212 Pro Run 20 Pistol,212,Pro,Pistol,1or2-3-5,True 34,Regular Personnel,Man to Man,No Blitz,None,Spy,Normal,ILB Grady Francis,,,None,None,False,2,0,2,,,,,0,2109,Conference Finals,Tucker,GA,45,calm,fair,54,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,10,0,3,3,ORL,TUC,ORL46,pass,-6,0,113 Weak Pass XAYZR 11S83 Normal,113,Weak,Normal,3or4-3,True 34,Nickel Personnel,Press-2,Blitz 1,Double,None,3long,,,WLB A.Manderscheid,None,None,False,,,3,11S83,XAYZR,1,1,0,2109,Conference Finals,Tucker,GA,45,calm,fair,54,NORMAL,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,12,1,1,10,TUC,ORL,TUC22,run,4,0,104 Strong Run 27 Pistol,104,Strong,Pistol,1-10poss,43 Over,Dime Personnel,Cover-2,No Blitz,None,None,Normal,CB Harvey Dorff,ILB Shaquille Barthold,,None,None,False,2,7,5,,,,,0,2109,Conference Finals,Tucker,GA,45,calm,fair,78,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,28,1,2,6,TUC,ORL,TUC26,pass,0,0,113 Weak Pass RZX 083 Normal,113,Weak,Normal,1or2-6-9,43 Over,Nickel Personnel,Cover-2,No Blitz,Double,None,Normal,,,,None,None,False,,,6,083,RZX,0,8,0,2109,Conference Finals,Tucker,GA,45,calm,fair,74,NORMAL,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
1Q,11,19,1,3,6,TUC,ORL,TUC26,pass,0,0,122 I Pass XZT 328 Normal,122,I,Normal,3or4-6-7,43 Over,Regular Personnel,Press-2,No Blitz,None,None,3long,,,,None,None,False,,,7,328,XZT,3,2,0,2109,Conference Finals,Tucker,GA,45,calm,fair,74,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1Q,11,4,2,1,10,ORL,TUC,ORL37,pass,0,0,122 Weak Pass YZXAT SW008 Shotgun,122,Weak,Shotgun,1-10poss,True 34,Regular Personnel,Cover-2,Blitz 1,None,None,Normal,,,SILB G.Francis,None,None,False,,,9,SW008,YZXAT,S,W,0,2109,Conference Finals,Tucker,GA,45,calm,fair,63,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1Q,10,58,2,2,10,ORL,TUC,ORL37,run,3,0,122 Weak Run 20 Shotgun,122,Weak,Shotgun,1or2-10-12,True 34,Regular Personnel,Cover-2,No Blitz,None,None,Normal,ILB Grady Francis,,,None,None,False,2,0,10,,,,,0,2109,Conference Finals,Tucker,GA,45,calm,fair,63,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,19,2,3,7,ORL,TUC,ORL40,pass,18,10,212 Pro Pass YZXAB 238SF Shotgun,212,Pro,Shotgun,3or4-6-7,True 34,Regular Personnel,Press-2,Blitz 1,Double,None,3long,CB Vincent Tate,ILB Grady Francis,WLB N.Schiff,None,None,False,,,11,238SF,YZXAB,2,3,0,2109,Conference Finals,Tucker,GA,45,calm,fair,60,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,39,2,1,10,ORL,TUC,TUC42,pass,-2,0,113t Strong Pass ZAXR S230 Pistol,113t,Strong,Pistol,1-10earn,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,S Joseph Hammond,,WLB A.Manderscheid,None,None,False,,,12,S230,ZAXR,S,2,0,2109,Conference Finals,Tucker,GA,45,calm,fair,42,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
1Q,9,9,2,2,12,ORL,TUC,TUC44,pass,0,0,113t Strong Pass RAXYZ 7F973 Pistol,113t,Strong,Pistol,1or2-10-12,True 34,Nickel Personnel,Man to Man,Blitz 1,None,None,Normal,,,WLB A.Manderscheid,None,None,False,,,13,7F973,RAXYZ,7,F,0,2109,Conference Finals,Tucker,GA,45,calm,fair,44,NORMAL,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
1Q,8,59,2,3,12,ORL,TUC,TUC44,pass,10,0,113t I Pass RZXA 3FS2 Normal,113t,I,Normal,3or4-10-12,True 34,Nickel Personnel,Press-2,Blitz 1,Double,None,3long,CB Nicholas Schiff,,WLB A.Manderscheid,None,None,False,,,14,3FS2,RZXA,3,F,0,2109,Conference Finals,Tucker,GA,45,calm,fair,44,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,8,25,3,1,10,TUC,ORL,TUC25,pass,0,0,122 I Pass ZTX 27F Normal,122,I,Normal,1-10poss,43 Over,Regular Personnel,Press-2,No Blitz,None,None,Normal,,,,None,None,False,,,17,27F,ZTX,2,7,0,2109,Conference Finals,Tucker,GA,45,calm,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,8,20,3,2,10,TUC,ORL,TUC25,run,3,0,113 Strong Run 23 Shotgun,113,Strong,Shotgun,1or2-10-12,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,CB Harvey Dorff,,,None,None,False,2,3,18,,,,,0,2109,Conference Finals,Tucker,GA,45,calm,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,7,47,3,3,7,TUC,ORL,TUC28,pass,34,25,113 Pro Pass RZX 139 Normal,113,Pro,Normal,3or4-6-7,43 Over,Nickel Personnel,Cover-3 Cloud,No Blitz,None,None,3long,CB Fred Coleman,,,None,None,False,,,19,139,RZX,1,3,0,2109,Conference Finals,Tucker,GA,45,calm,fair,72,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,7,8,3,1,10,TUC,ORL,ORL38,pass,0,0,113 Pro Pass RZX 139 Normal,113,Pro,Normal,1-10earn,43 Over,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,,,LCB H.Dorff,None,None,False,,,20,139,RZX,1,3,0,2109,Conference Finals,Tucker,GA,45,calm,fair,38,NORMAL,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
