quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,14,23,0,1,10,ARI,CHI,ARI15,run,19,0,113 Strong Run 20 Normal,113,Strong,Normal,1-10poss,43 Over,Nickel Personnel,Cover-4,No Blitz,None,None,Normal,S Nickolas Godfrey,DT Bernard Fisher,,None,None,False,2,0,1,,,,,0,2109,Week 5,Chicago,TN,52,5 ,fair,85,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,47,0,1,10,ARI,CHI,ARI34,run,-3,0,113 Pro Run 22 Normal,113,Pro,Normal,1-10earn,43 Over,Nickel Personnel,Cover-4,No Blitz,None,None,Normal,S Nickolas Godfrey,,,None,None,False,2,2,2,,,,,0,2109,Week 5,Chicago,TN,52,5 ,fair,66,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,13,2,0,2,18,ARI,CHI,ARI26,pass,10,10,113 Weak Pass XZR F58 Normal,113,Weak,Normal,1or2-13+,43 Over,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,S Dale Azer,,MLB M.Samuels,None,None,False,,,4,F58,XZR,F,5,0,2109,Week 5,Chicago,TN,52,5 ,fair,74,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,12,28,0,3,8,ARI,CHI,ARI36,pass,0,0,113t I Pass ZXR 761 Normal,113t,I,Normal,3or4-8-9,43 Over,Nickel Personnel,Cover-4,No Blitz,None,None,3long,,,,None,None,False,,,5,761,ZXR,7,6,0,2109,Week 5,Chicago,TN,52,5 ,fair,64,NORMAL,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
1Q,12,11,1,1,10,CHI,ARI,CHI20,pass,26,0,113 Strong Pass XRYZA 1711S Normal,113,Strong,Normal,1-10poss,34 Eagle,Nickel Personnel,"Press-1, Buzz",No Blitz,Double,None,Normal,OLB Ike Seale,,,None,None,False,,,7,1711S,XRYZA,1,7,0,2109,Week 5,Chicago,TN,52,5 ,fair,80,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,11,39,1,1,10,CHI,ARI,CHI46,run,8,0,113t Pro Run 26 Normal,113t,Pro,Normal,1-10earn,34 Eagle,Nickel Personnel,Cover-1,No Blitz,None,None,Normal,DE Choctaw Brookes,CB Caden Arroyo,,None,None,False,2,6,8,,,,,0,2109,Week 5,Chicago,TN,52,5 ,fair,54,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,54,1,2,2,CHI,ARI,ARI46,pass,-6,0,113 Weak Pass XAZR 1131 Normal,113,Weak,Normal,1or2-1-2,34 Eagle,Nickel Personnel,Cover-4,Blitz 1,None,None,Normal,,,SLB I.Seale,None,None,False,,,9,1131,XAZR,1,1,0,2109,Week 5,Chicago,TN,52,5 ,fair,46,NORMAL,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,24,1,3,8,CHI,ARI,CHI48,pass,0,0,212 Pro Pass XAYZ 5122 Shotgun,212,Pro,Shotgun,3or4-8-9,34 Eagle,Regular Personnel,Cover-4,Blitz 1,None,None,3long,,,SLB I.Seale,None,None,False,,,10,5122,XAYZ,5,1,0,2109,Week 5,Chicago,TN,52,5 ,fair,52,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1Q,10,8,2,1,10,ARI,CHI,ARI10,run,1,0,113t I Run 23 Normal,113t,I,Normal,1-10poss,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,S Nickolas Godfrey,,,None,None,False,2,3,12,,,,,0,2109,Week 5,Chicago,TN,52,5 ,fair,90,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,9,38,2,2,9,ARI,CHI,ARI11,scramble,3,0,131 Weak Pass UZA 17S Pistol,131,Weak,Pistol,1or2-6-9,43 Over,Regular Personnel,Cover-2,No Blitz,None,None,Normal,DT Louie Carr,ILB Miles Samuels,,None,None,False,,,13,17S,UZA,1,7,0,2109,Week 5,Chicago,TN,52,5 ,fair,89,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,9,10,2,3,6,ARI,CHI,ARI14,pass,3,0,221 Pro Pass TZB 27W Normal,221,Pro,Normal,3or4-6-7,43 Over,Regular Personnel,Cover-4,No Blitz,None,None,3long,CB Edwin Bronson,S Wayne Proffitt,,None,None,False,,,14,27W,TZB,2,7,0,2109,Week 5,Chicago,TN,52,5 ,fair,86,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,8,22,3,1,10,CHI,ARI,CHI21,run,1,0,113 Strong Cntr. 22 Pistol,113,Strong,Pistol,1-10poss,34 Eagle,Nickel Personnel,Cover-1,No Blitz,None,None,Normal,DT Efrain Justus,DE Craig Ozols,,None,None,False,2,2,16,,,,,0,2109,Week 5,Chicago,TN,52,5 ,fair,79,NORMAL,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1Q,8,1,3,2,9,CHI,ARI,CHI22,pass,45,0,212 Pro Pass YZXAB 0D4SS Shotgun,212,Pro,Shotgun,1or2-6-9,34 Eagle,Regular Personnel,Cover-2,Blitz 1,None,None,Normal,CB Ted Rankinen,,WLB C.Mazza,None,None,False,,,17,0D4SS,YZXAB,0,D,0,2109,Week 5,Chicago,TN,52,5 ,fair,78,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,7,29,3,1,10,CHI,ARI,ARI33,run,4,0,131 Strong Run 22 Shotgun,131,Strong,Shotgun,1-10earn,34 Eagle,Regular Personnel,Cover-1,No Blitz,None,None,Normal,DT Efrain Justus,,,None,None,False,2,2,18,,,,,0,2109,Week 5,Chicago,TN,52,5 ,fair,33,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,6,49,3,2,6,CHI,ARI,ARI29,run,3,0,113 Weak Run 26 Normal,113,Weak,Normal,1or2-6-9,34 Eagle,Nickel Personnel,Cover-1,No Blitz,None,None,Normal,ILB Git R Dunn,DT Efrain Justus,,None,None,False,2,6,19,,,,,0,2109,Week 5,Chicago,TN,52,5 ,fair,29,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
