quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,15,0,0,1,10,IOW,CHI,IOW25,run,8,0,221 Strong Cntr. 25 Normal,221,Strong,Normal,1-10poss,43 Under,Regular Personnel,Press-1,No Blitz,None,None,Normal,DT Albert Bethea,DE Preston Schmit,,None,None,False,2,5,1,,,,,0,2118,Week 8,Chicago,TN,62,4 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1Q,14,32,0,2,2,IOW,CHI,IOW33,pass,13,1,113t Strong Pass XZAR 0104 Normal,113t,Strong,Normal,1or2-1-2,43 Under,Nickel Personnel,Press-1,No Blitz,None,None,Normal,OLB Monty Willis,,,None,None,False,,,2,0104,XZAR,0,1,0,2118,Week 8,Chicago,TN,62,4 ,fair,67,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,14,8,0,1,10,IOW,CHI,IOW46,pass,4,3,113t I Pass XZYAR 044S6 Normal,113t,I,Normal,1-10earn,43 Under,Nickel Personnel,Press-1,No Blitz,None,None,Normal,CB Elias Benton,S Zack Echols,,None,None,False,,,3,044S6,XZYAR,0,4,0,2118,Week 8,Chicago,TN,62,4 ,fair,54,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,13,32,0,2,6,IOW,CHI,CHI50,pass,0,0,122 I Pass AZXY 2214 Normal,122,I,Normal,1or2-6-9,43 Under,Regular Personnel,Press-1,Blitz 1,None,None,Normal,,,WLB B.Clark,None,None,False,,,4,2214,AZXY,2,2,0,2118,Week 8,Chicago,TN,62,4 ,fair,50,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1Q,13,25,0,3,6,IOW,CHI,CHI50,pass,0,0,113 Strong Pass YXZAR 65443 Normal,113,Strong,Normal,3or4-6-7,43 Under,Nickel Personnel,Tampa-2,No Blitz,None,None,3long,,,,None,None,False,,,5,65443,YXZAR,6,5,0,2118,Week 8,Chicago,TN,62,4 ,fair,50,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1Q,13,11,1,1,10,CHI,IOW,CHI11,run,4,0,122 Strong Run 24 Shotgun,122,Strong,Shotgun,1-10poss,43 Under,Regular Personnel,Tampa-2,No Blitz,None,None,Normal,DT Harvey Batchelder,,,None,None,False,2,4,7,,,,,0,2118,Week 8,Chicago,TN,62,4 ,fair,89,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,27,1,2,6,CHI,IOW,CHI15,pass,6,0,212 Pro Pass AYXZB 1343S Normal,212,Pro,Normal,1or2-6-9,43 Under,Regular Personnel,Cover-1,No Blitz,None,None,Normal,ILB Jonah Meyer,,,None,None,False,,,8,1343S,AYXZB,1,3,0,2118,Week 8,Chicago,TN,62,4 ,fair,85,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,11,52,1,1,10,CHI,IOW,CHI21,reverse,9,0,122 Strong Rev. rev7 Normal,122,Strong,Normal,1-10earn,43 Under,Regular Personnel,Press-1,No Blitz,None,None,Normal,DE Timothy Boyer,,,None,None,False,rev,7,9,,,,,0,2118,Week 8,Chicago,TN,62,4 ,fair,79,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,11,1,2,1,CHI,IOW,CHI30,run,5,0,113 Pro Run 23 Normal,113,Pro,Normal,1or2-1-2,43 Under,Nickel Personnel,"Cover-1, Buzz",No Blitz,None,None,Normal,OLB Cory Eikanger,DE Timothy Boyer,,None,None,False,2,3,10,,,,,0,2118,Week 8,Chicago,TN,62,4 ,fair,70,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,30,1,1,10,CHI,IOW,CHI35,pass,-1,0,113 Strong Pass XZYAR 0952S Pistol,113,Strong,Pistol,1-10earn,43 Under,Nickel Personnel,"Cover-1, Buzz",No Blitz,Double,None,Normal,DE Christian Burke,,,None,None,False,,,11,0952S,XZYAR,0,9,0,2118,Week 8,Chicago,TN,62,4 ,fair,65,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True
