quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,15,0,0,1,10,CHE,FTW,CHE25,pass,5,1,023 Empty Pass RXZ S44 Normal,023,Empty,Normal,1-10poss,True 34,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,DE Hayden Nodin,,WLB D.Mintz,None,None,False,,,1,S44,RXZ,S,4,0,2110,Week 2,Chesapeake,MD,72,calm,fair,75,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,14,19,0,2,5,CHE,FTW,CHE30,scramble,10,0,122 Weak Pass TXYZA F1662 Normal,122,Weak,Normal,1or2-3-5,True 34,Regular Personnel,Cover-1,Blitz 1,None,None,Normal,OLB Git R Dunn,,WLB D.Mintz,None,None,False,,,2,F1662,TXYZA,F,1,0,2110,Week 2,Chesapeake,MD,72,calm,fair,70,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,34,0,1,10,CHE,FTW,CHE40,pass,3,0,212 Pro Pass XAYZ FF27 Shotgun,212,Pro,Shotgun,1-10earn,True 34,Regular Personnel,Cover-2,Blitz 1,None,None,Normal,DE Hayden Nodin,,SLB J.Dunn,None,None,False,,,3,FF27,XAYZ,F,F,0,2110,Week 2,Chesapeake,MD,72,calm,fair,60,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,12,52,0,2,7,CHE,FTW,CHE43,pass,-9,0,113 Weak Pass RXYZA 5030W Normal,113,Weak,Normal,1or2-6-9,True 34,Nickel Personnel,Press-2,Blitz 2,None,None,Normal,,,"['SLB J.Dunn', 'WLB D.Mintz']",None,None,False,,,4,5030W,RXYZA,5,0,0,2110,Week 2,Chesapeake,MD,72,calm,fair,57,NORMAL,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,12,0,3,16,CHE,FTW,CHE34,pass,14,3,113 I Pass XRYZA 33FS0 Normal,113,I,Normal,3or4-13-16,True 34,Nickel Personnel,Cover-3 Sky,Blitz 1,None,None,3long,CB Neil Abernathy,,SLB C.Garrison,None,None,False,,,5,33FS0,XRYZA,3,3,0,2110,Week 2,Chesapeake,MD,72,calm,fair,66,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,11,33,1,1,10,FTW,CHE,FTW07,run,-1,0,104 Weak Run 21 Normal,104,Weak,Normal,1-10poss,34 Eagle,Dime Personnel,Cover-2,No Blitz,None,None,Normal,OLB Dwight Bradley,S K,,None,None,False,2,1,7,,,,,0,2110,Week 2,Chesapeake,MD,72,calm,fair,93,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,10,49,1,2,11,FTW,CHE,FTW06,run,10,0,113 Strong Run 27 Shotgun,113,Strong,Shotgun,1or2-10-12,34 Eagle,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DE Devin Barber,S K,,None,None,False,2,7,8,,,,,0,2110,Week 2,Chesapeake,MD,72,calm,fair,94,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,14,1,3,6,FTW,CHE,FTW11,pass,6,0,212 I Pass ZXYB 02SS Normal,212,I,Normal,3or4-6-7,34 Eagle,Regular Personnel,Cover-3 Sky,No Blitz,None,None,3long,OLB Amari Zajac,OLB Dwight Bradley,,None,None,False,,,10,02SS,ZXYB,0,2,0,2110,Week 2,Chesapeake,MD,72,calm,fair,89,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,31,1,1,20,FTW,CHE,FTW07,pass,5,4,113t Weak Pass ZRXY S27F Pistol,113t,Weak,Pistol,1or2-13+,34 Eagle,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,S K,,WLB A.Zajac,None,None,False,,,13,S27F,ZRXY,S,2,0,2110,Week 2,Chesapeake,MD,72,calm,fair,93,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,8,51,1,2,15,FTW,CHE,FTW12,run,3,0,122 Weak Run 23 Normal,122,Weak,Normal,1or2-13+,34 Eagle,Regular Personnel,Cover-3 Cloud,No Blitz,None,None,Normal,DE Donald Camilleri,ILB Ernie England,,None,None,False,2,3,14,,,,,0,2110,Week 2,Chesapeake,MD,72,calm,fair,88,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
