quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,15,0,0,1,10,TUC,ORL,TUC25,pass,16,8,122 I Pass ZTX 27F Normal,122,I,Normal,1-10poss,43 Over,Regular Personnel,Cover-3 Cloud,No Blitz,None,None,Normal,OLB Damien Escalante,,, T Bob Perryman,Offensive Holding,False,,,1,27F,ZTX,2,7,0,2109,Week 1,Orlando,FL,71,calm,fair,75,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,14,53,0,1,20,TUC,ORL,TUC15,pass,4,0,131 Pro Pass TZYA 037W Normal,131,Pro,Normal,1or2-13+,43 Over,Regular Personnel,Press-2,No Blitz,None,None,Normal,OLB Tim Henson,,,None,None,False,,,2,037W,TZYA,0,3,0,2109,Week 1,Orlando,FL,71,calm,fair,85,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,14,28,0,2,16,TUC,ORL,TUC19,scramble,6,0,212 Strong Pass XZY 193 Normal,212,Strong,Normal,1or2-13+,43 Over,Regular Personnel,Cover-2,Blitz 1,None,None,Normal,OLB Tim Henson,,LCB O.Callender,None,None,False,,,3,193,XZY,1,9,0,2109,Week 1,Orlando,FL,71,calm,fair,81,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,45,0,3,10,TUC,ORL,TUC25,pass,0,0,122 I Pass ZXY 382 Normal,122,I,Normal,3or4-10-12,43 Over,Regular Personnel,Cover-3 Cloud,No Blitz,None,None,3long,,,,None,None,False,,,4,382,ZXY,3,8,0,2109,Week 1,Orlando,FL,71,calm,fair,75,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1Q,13,28,1,1,10,ORL,TUC,ORL20,pass,-4,0,212 Pro Pass ZAXYB 7S410 Shotgun,212,Pro,Shotgun,1-10poss,True 34,Regular Personnel,Man to Man,Blitz 1,Double,None,Normal,,,FS E.Singleton,None,None,False,,,6,7S410,ZAXYB,7,S,0,2109,Week 1,Orlando,FL,71,calm,fair,80,NORMAL,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,56,1,2,14,ORL,TUC,ORL16,pass,0,0,113 Weak Pass ZRXY 2SW0 Pistol,113,Weak,Pistol,1or2-13+,True 34,Nickel Personnel,Man to Man,Blitz 1,None,None,Normal,J,,SILB G.Francis,None,None,False,,,7,2SW0,ZRXY,2,S,0,2109,Week 1,Orlando,FL,71,calm,fair,84,NORMAL,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,43,1,1,10,TUC,ORL,ORL27,run,-3,0,113t Weak Run 20 Normal,113t,Weak,Normal,1-10poss,43 Over,Nickel Personnel,Press-2,No Blitz,None,Spy,Normal,S Braxton Lyden,,,None,None,False,2,0,8,,,,,0,2109,Week 1,Orlando,FL,71,calm,fair,27,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,12,8,1,2,13,TUC,ORL,ORL30,pass,13,14,122 I Pass AXZ S96 Normal,122,I,Normal,1or2-13+,43 Over,Regular Personnel,Cover-3 Cloud,No Blitz,None,None,Normal,CB Fred Coleman,,,None,None,False,,,9,S96,AXZ,S,9,0,2109,Week 1,Orlando,FL,71,calm,fair,30,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,11,41,1,1,10,TUC,ORL,ORL17,scramble,5,0,122 Weak Pass YZX S52 Normal,122,Weak,Normal,1-10earn,43 Over,Regular Personnel,Press-2,Blitz 1,None,None,Normal,CB Fred Coleman,,SLB T.Henson,None,None,False,,,10,S52,YZX,S,5,0,2109,Week 1,Orlando,FL,71,calm,fair,17,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,13,1,2,5,TUC,ORL,ORL12,pass,12,0,212 Weak Pass AZXY W73S Normal,212,Weak,Normal,1or2-3-5,43 Over,Regular Personnel,Press-2,Blitz 1,None,None,Normal,,,SLB T.Henson,None,None,False,,,11,W73S,AZXY,W,7,0,2109,Week 1,Orlando,FL,71,calm,fair,12,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
