quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,14,17,0,1,10,TEX,BKN,TEX29,run,-2,0,113 Strong Run 20 Shotgun,113,Strong,Shotgun,1-10poss,43 Under,Nickel Personnel,"Man to Man, Buzz",No Blitz,None,None,Normal,CB Alexis Meier,,,None,None,False,2,0,1,,,,,0,2110,Week 3,Texas,TX,94,9 ,fair,71,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,13,44,0,2,12,TEX,BKN,TEX27,pass,0,0,014 Empty Pass YSXZR FW928 Normal,014,Empty,Normal,1or2-10-12,43 Under,Dime Personnel,Cover-3 Sky,No Blitz,None,None,Normal,,,,None,None,False,,,2,FW928,YSXZR,F,W,0,2110,Week 3,Texas,TX,94,9 ,fair,73,NORMAL,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1Q,13,38,0,3,12,TEX,BKN,TEX27,pass,0,0,113t Strong Pass YRXZ W824 Pistol,113t,Strong,Pistol,3or4-10-12,43 Under,Nickel Personnel,Cover-4,No Blitz,None,None,3long,,,,None,None,False,,,3,W824,YRXZ,W,8,0,2110,Week 3,Texas,TX,94,9 ,fair,73,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1Q,13,24,1,1,10,BKN,TEX,TEX49,pass,47,0,113t Weak Pass RXYZA D5F2S Normal,113t,Weak,Normal,1-10poss,43 Under,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,ILB Edwin Erickson,,WLB S.Clevenger,None,None,False,,,5,D5F2S,RXYZA,D,5,0,2110,Week 3,Texas,TX,94,9 ,fair,49,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,12,43,1,1,2,BKN,TEX,TEX02,pass,0,0,122 Weak Pass YAXZT 400F1 Shotgun,122,Weak,Shotgun,1or2opp6,43 Under,Regular Personnel,Cover-2,No Blitz,None,None,Normal,,,,None,None,False,,,6,400F1,YAXZT,4,0,0,2110,Week 3,Texas,TX,94,9 ,fair,2,OPP6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1Q,12,36,1,2,2,BKN,TEX,TEX02,run,1,0,122 I Cntr. 25 Normal,122,I,Normal,1or2opp6,43 Under,Regular Personnel,Cover-2,No Blitz,None,None,Normal,DE B.J. McCallister,OLB Sergio Clevenger,,None,None,False,2,5,7,,,,,0,2110,Week 3,Texas,TX,94,9 ,fair,2,OPP6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1Q,11,56,1,3,1,BKN,TEX,TEX01,run,1,0,212 Pro Run 22 Normal,212,Pro,Normal,3or4-1,43 Under,Goal Line Personnel,"Man to Man, Buzz",No Blitz,None,None,3short,,,,None,None,False,2,2,8,,,,,0,2110,Week 3,Texas,TX,94,9 ,fair,1,OPP6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1Q,11,46,2,1,10,TEX,BKN,TEX25,run,11,0,113 Weak Run 22 Shotgun,113,Weak,Shotgun,1-10poss,43 Under,Nickel Personnel,Cover-3 Sky,No Blitz,None,None,Normal,S Glenn Ziemak,,,None,None,False,2,2,11,,,,,0,2110,Week 3,Texas,TX,94,9 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,17,2,1,10,TEX,BKN,TEX36,run,4,0,113 Strong Run 21 Shotgun,113,Strong,Shotgun,1-10earn,43 Under,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DT Kim Hershberger,CB Alexis Meier,,None,None,False,2,1,12,,,,,0,2110,Week 3,Texas,TX,94,9 ,fair,64,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,46,2,2,6,TEX,BKN,TEX40,run,60,0,122 Weak Run 20 Shotgun,122,Weak,Shotgun,1or2-6-9,43 Under,Regular Personnel,Cover-4,No Blitz,None,None,Normal,,,,None,None,False,2,0,13,,,,,0,2110,Week 3,Texas,TX,94,9 ,fair,60,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
