quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,14,15,0,1,10,OBX,HAN,OBX30,run,9,0,113 Strong Run 21 Shotgun,113,Strong,Shotgun,1-10poss,43 Over,Nickel Personnel,Man to Man,No Blitz,None,None,Normal,OLB Emmett Simmons,,,None,None,False,2,1,1,,,,,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,70,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,38,0,2,1,OBX,HAN,OBX39,run,2,0,113 Strong Run 21 Shotgun,113,Strong,Shotgun,1or2-1-2,43 Over,Nickel Personnel,Press-2,No Blitz,None,None,Normal,S Drew Sampson,,,None,None,False,2,1,2,,,,,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,61,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,16,0,1,10,OBX,HAN,OBX41,run,2,0,104 Weak Run 24 Shotgun,104,Weak,Shotgun,1-10earn,43 Over,Dime Personnel,Press-2,No Blitz,None,None,Normal,S Drew Sampson,CB Randy Homer,,None,None,False,2,4,3,,,,,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,59,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,44,0,2,8,OBX,HAN,OBX43,pass,11,1,113 Strong Pass XYZR S192 Normal,113,Strong,Normal,1or2-6-9,43 Over,Nickel Personnel,Press-2,No Blitz,Double,None,Normal,CB Skip Gable,,,None,None,False,,,4,S192,XYZR,S,1,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,57,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,12,22,0,1,10,OBX,HAN,HAN46,run,-4,0,113 Weak Run 26 Shotgun,113,Weak,Shotgun,1-10earn,43 Over,Nickel Personnel,Man to Man,No Blitz,None,None,Normal,DE Hector Burmeister,,,None,None,False,2,6,5,,,,,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,46,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,11,52,0,2,14,OBX,HAN,OBX50,pass,11,13,122 Weak Pass TYXZA S143S Pistol,122,Weak,Pistol,1or2-13+,43 Over,Regular Personnel,Man to Man,No Blitz,Double,None,Normal,DT Griffin Brandon,,,None,None,False,,,6,S143S,TYXZA,S,1,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,50,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,11,17,0,3,3,OBX,HAN,HAN39,pass,3,0,122 Weak Pass TYXZA 1369S Pistol,122,Weak,Pistol,3or4-3,43 Over,Regular Personnel,Cover-2,No Blitz,Double,None,3long,OLB Emmett Simmons,,,None,None,False,,,7,1369S,TYXZA,1,3,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,39,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,38,0,1,10,OBX,HAN,HAN36,pass,1,0,113 Weak Pass RYXZ S229 Normal,113,Weak,Normal,1-10earn,43 Over,Nickel Personnel,Cover-2,No Blitz,Double,None,Normal,DE Oscar Hindman,,,None,None,False,,,8,S229,RYXZ,S,2,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,36,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,8,0,2,9,OBX,HAN,HAN35,run,17,0,113 Weak Run 26 Shotgun,113,Weak,Shotgun,1or2-6-9,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,S Drew Sampson,,,None,None,False,2,6,9,,,,,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,35,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,9,34,0,1,10,OBX,HAN,HAN18,pass,0,0,113 Strong Pass RYXZA 4319S Normal,113,Strong,Normal,1-10earn,43 Over,Nickel Personnel,Press-1,Blitz 1,Double,None,Normal,,,WLB E.Simmons,None,None,False,,,10,4319S,RYXZA,4,3,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,18,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1Q,9,24,0,2,10,OBX,HAN,HAN18,pass,0,0,122 Weak Pass TYXZA S143S Pistol,122,Weak,Pistol,1or2-10-12,43 Over,Regular Personnel,Press-1,No Blitz,Double,None,Normal,,,,None,None,False,,,11,S143S,TYXZA,S,1,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,18,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1Q,9,19,0,3,10,OBX,HAN,HAN18,pass,0,0,113 Weak Pass YRXZ 3495 Normal,113,Weak,Normal,3or4-10-12,43 Over,Nickel Personnel,Press-1,No Blitz,Double,None,3long,,,,None,None,False,,,12,3495,YRXZ,3,4,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,18,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1Q,8,42,1,1,10,HAN,OBX,OBX48,pass,8,11,014 Shotgun Pass XZYRS 1S222 Normal,014,Shotgun,Normal,1-10poss,43 Over,Dime Personnel,"Cover-1, Buzz",No Blitz,None,None,Normal,DT Chandler Torres,,,None,None,False,,,15,1S222,XZYRS,1,S,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,48,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,8,8,1,2,2,HAN,OBX,OBX40,run,0,0,113 Pro Run 23 Normal,113,Pro,Normal,1or2-1-2,43 Over,Nickel Personnel,"Cover-1, Buzz",No Blitz,None,None,Normal,DE Sawyer Cochrane,,,None,None,False,2,3,16,,,,,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,40,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,7,26,1,3,2,HAN,OBX,OBX40,run,3,0,113 Strong Run 21 Normal,113,Strong,Normal,3or4-2,43 Over,Nickel Personnel,"Cover-1, Buzz",No Blitz,None,None,3short,DT Damon Cullors,,,None,None,False,2,1,17,,,,,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,40,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,6,56,1,1,10,HAN,OBX,OBX37,run,1,0,113 Pro Run 24 Normal,113,Pro,Normal,1-10earn,43 Over,Nickel Personnel,"Cover-1, Buzz",No Blitz,None,None,Normal,DT Byron Johnson,OLB Pat Kelley,,None,None,False,2,4,18,,,,,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,37,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,6,25,1,2,9,HAN,OBX,OBX36,pass,23,15,113 Strong Pass ZXAR 0628 Shotgun,113,Strong,Shotgun,1or2-6-9,43 Over,Nickel Personnel,"Cover-1, Buzz",No Blitz,None,None,Normal,CB Jerald McCormick,,, T Ray Price,Offensive Holding,False,,,19,0628,ZXAR,0,6,0,2109,Week 9,Outer Banks,NC,73,1 ,fair,36,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
