quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,15,0,0,1,10,TUC,TOR,TUC25,run,12,0,104 Strong Run 27 Pistol,104,Strong,Pistol,1-10poss,True 34,Dime Personnel,Press-2,No Blitz,None,None,Normal,OLB Tanner McDermott,,,None,None,False,2,7,1,,,,,0,2108,Week 13,Tucker,GA,69,calm,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,14,28,0,1,10,TUC,TOR,TUC37,pass,3,0,113 Pro Pass RZX 139 Normal,113,Pro,Normal,1-10earn,True 34,Nickel Personnel,Press-2,No Blitz,Double,None,Normal,ILB Roy Dolfinger,,,None,None,False,,,2,139,RZX,1,3,0,2108,Week 13,Tucker,GA,69,calm,fair,63,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,13,43,0,2,7,TUC,TOR,TUC40,scramble,12,0,113 Weak Pass RZX 083 Normal,113,Weak,Normal,1or2-6-9,True 34,Nickel Personnel,Press-2,No Blitz,Double,None,Normal,ILB Roy Dolfinger,,,None,None,False,,,3,083,RZX,0,8,0,2108,Week 13,Tucker,GA,69,calm,fair,60,NORMAL,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1Q,13,13,0,1,10,TUC,TOR,TOR48,pass,0,0,122 I Pass YZX 782 Normal,122,I,Normal,1-10earn,True 34,Regular Personnel,Press-1,No Blitz,None,None,Normal,,,,None,None,False,,,4,782,YZX,7,8,0,2108,Week 13,Tucker,GA,69,calm,fair,48,NORMAL,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
1Q,13,4,0,2,10,TUC,TOR,TOR48,run,5,0,113 Strong Run 23 Shotgun,113,Strong,Shotgun,1or2-10-12,True 34,Nickel Personnel,Press-2,No Blitz,None,None,Normal,OLB Marcus Bertolone,,,None,None,False,2,3,5,,,,,0,2108,Week 13,Tucker,GA,69,calm,fair,48,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,29,0,3,5,TUC,TOR,TOR43,pass,7,7,212 Pro Pass XZA S7W Normal,212,Pro,Normal,3or4-4-5,True 34,Regular Personnel,Cover-3 Sky,No Blitz,Double,None,3long,CB Devin Bass,,,None,None,False,,,6,S7W,XZA,S,7,0,2108,Week 13,Tucker,GA,69,calm,fair,43,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,11,44,0,1,10,TUC,TOR,TOR36,pass,21,23,113 Weak Pass RZX S47 Normal,113,Weak,Normal,1-10earn,True 34,Nickel Personnel,Cover-3 Sky,No Blitz,Double,None,Normal,OLB Marcus Bertolone,,,None,None,False,,,7,S47,RZX,S,4,0,2108,Week 13,Tucker,GA,69,calm,fair,36,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,10,58,0,1,10,TUC,TOR,TOR15,pass,-89,0,122 Weak Pass YZX S52 Normal,122,Weak,Normal,1-10earn,True 34,Regular Personnel,Press-2,No Blitz,None,None,Normal,,,,None,None,False,,,8,S52,YZX,S,5,0,2108,Week 13,Tucker,GA,69,calm,fair,15,NORMAL,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1Q,10,27,1,1,10,TUC,TOR,TUC36,pass,3,0,122 I Pass ZTX 27F Normal,122,I,Normal,1-10earn,True 34,Regular Personnel,Press-1,No Blitz,None,None,Normal,S Malcolm Germany,,,None,None,False,,,11,27F,ZTX,2,7,0,2108,Week 13,Tucker,GA,69,calm,fair,64,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,6,1,2,7,TUC,TOR,TUC39,pass,1,1,212 Strong Pass BZXY S73F Normal,212,Strong,Normal,1or2-6-9,True 34,Regular Personnel,Press-2,No Blitz,Double,None,Normal,ILB Thomas Abrams,ILB Norm Pierce,,None,None,False,,,12,S73F,BZXY,S,7,0,2108,Week 13,Tucker,GA,69,calm,fair,61,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,36,1,3,6,TUC,TOR,TUC40,pass,8,0,122 I Pass XZT 328 Normal,122,I,Normal,3or4-6-7,True 34,Regular Personnel,Cover-3 Sky,No Blitz,None,None,3long,S Luis Pasich,OLB Todd Kerr,,None,None,False,,,13,328,XZT,3,2,0,2108,Week 13,Tucker,GA,69,calm,fair,60,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,8,1,1,10,TUC,TOR,TUC48,pass,0,0,113t I Pass ZXR 761 Normal,113t,I,Normal,1-10earn,True 34,Nickel Personnel,Press-2,No Blitz,None,None,Normal,,,,None,None,False,,,14,761,ZXR,7,6,0,2108,Week 13,Tucker,GA,69,calm,fair,52,NORMAL,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1Q,9,1,1,2,10,TUC,TOR,TUC48,pass,32,11,122 Weak Pass AXZ 073 Pistol,122,Weak,Pistol,1or2-10-12,True 34,Regular Personnel,Cover-2,No Blitz,None,None,Normal,CB Damon Daniels,,,None,None,False,,,15,073,AXZ,0,7,0,2108,Week 13,Tucker,GA,69,calm,fair,52,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,8,33,1,1,10,TUC,TOR,TOR20,pass,0,0,212 Weak Pass AZXY W73S Normal,212,Weak,Normal,1-10earn,True 34,Regular Personnel,Press-2,No Blitz,Double,None,Normal,,,,None,None,False,,,16,W73S,AZXY,W,7,0,2108,Week 13,Tucker,GA,69,calm,fair,20,NORMAL,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
1Q,8,23,1,2,10,TUC,TOR,TOR20,pass,15,10,212 Strong Pass XZY 193 Normal,212,Strong,Normal,1or2-10-12,True 34,Regular Personnel,Cover-3 Sky,No Blitz,None,None,Normal,ILB Thomas Abrams,,,None,None,False,,,17,193,XZY,1,9,0,2108,Week 13,Tucker,GA,69,calm,fair,20,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,7,44,1,1,5,TUC,TOR,TOR05,pass,5,0,221 Pro Pass YTZ 018 Normal,221,Pro,Normal,1or2opp6,True 34,Regular Personnel,Press-2,No Blitz,None,None,Normal,,,,None,None,False,,,18,018,YTZ,0,1,0,2108,Week 13,Tucker,GA,69,calm,fair,5,OPP6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1Q,7,34,2,1,10,TOR,TUC,TOR25,pass,0,0,212 Pro Pass YZXA 178F Pistol,212,Pro,Pistol,1-10poss,True 34,Regular Personnel,Man to Man,Blitz 1,Double,None,Normal,,,SILB G.Francis,None,None,False,,,21,178F,YZXA,1,7,0,2108,Week 13,Tucker,GA,69,calm,fair,75,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1Q,7,28,2,2,10,TOR,TUC,TOR25,pass,10,0,113 Strong Pass AYXZR 4SFD7 Normal,113,Strong,Normal,1or2-10-12,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,S Kevin Foland,,WLB R.Leonas,None,None,False,,,22,4SFD7,AYXZR,4,S,0,2108,Week 13,Tucker,GA,69,calm,fair,75,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,6,56,2,1,10,TOR,TUC,TOR35,pass,14,7,113 Weak Pass YRXZ 1S20 Normal,113,Weak,Normal,1-10earn,True 34,Nickel Personnel,Press-2,Blitz 1,Double,None,Normal,DE Gene Carlisle,ILB Grady Francis,WLB R.Leonas,None,None,False,,,23,1S20,YRXZ,1,S,0,2108,Week 13,Tucker,GA,69,calm,fair,65,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,6,14,2,1,10,TOR,TUC,TOR49,run,2,0,113 Weak Run 22 Shotgun,113,Weak,Shotgun,1-10earn,True 34,Nickel Personnel,Cover-2,No Blitz,None,Spy,Normal,ILB Grady Francis,,,None,None,False,2,2,24,,,,,0,2108,Week 13,Tucker,GA,69,calm,fair,51,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,5,47,2,2,8,TOR,TUC,TUC49,pass,6,0,113 Strong Pass YRXZA 2814F Shotgun,113,Strong,Shotgun,1or2-6-9,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,OLB Salvador Mayhem,,RCB N.Schiff,None,None,False,,,25,2814F,YRXZA,2,8,0,2108,Week 13,Tucker,GA,69,calm,fair,49,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,5,12,2,3,2,TOR,TUC,TUC43,run,3,0,104 Weak Run 25 Shotgun,104,Weak,Shotgun,3or4-2,True 34,Dime Personnel,"Man to Man, Buzz",No Blitz,None,None,3short,S Kevin Foland,,,None,None,False,2,5,26,,,,,0,2108,Week 13,Tucker,GA,69,calm,fair,43,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
