,quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
0,1Q,14,24,0,1,10,LAV,MIN,LAV41,run,6,0,113t Strong Run 22 Pistol,113t,Strong,Pistol,1-10poss,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DT Ross Kelly,OLB Tanner Moss,,None,None,False,2,2,1,,,,,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,59,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1Q,13,56,0,2,4,LAV,MIN,LAV47,run,3,0,113 Weak Run 26 Pistol,113,Weak,Pistol,1or2-3-5,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,S Gregory Hill,DE Leroy Huffman,,None,None,False,2,6,2,,,,,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,53,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1Q,13,14,0,3,1,LAV,MIN,LAV50,run,-1,0,104 Strong Run 25 Normal,104,Strong,Normal,3or4-1,43 Over,Dime Personnel,"Man to Man, Buzz",No Blitz,None,None,3short,DE Carl Cervantes,DE Gilbert Crook,,None,None,False,2,5,3,,,,,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,50,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,1Q,12,18,1,1,10,MIN,LAV,MIN02,run,2,0,113t Strong Run 24 Pistol,113t,Strong,Pistol,1or2own5,True 34,Nickel Personnel,Press-2,No Blitz,None,None,Normal,S Diego Anquillano,OLB Marlon Simmons,,None,None,False,2,4,5,,,,,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,98,OWN5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1Q,11,34,1,2,8,MIN,LAV,MIN04,pass,0,0,113 I Pass ZYXAR 62WSF Normal,113,I,Normal,1or2own5,True 34,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,,,SILB J.Hoffman,None,None,False,,,6,62WSF,ZYXAR,6,2,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,96,OWN5,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
5,1Q,11,25,1,3,8,MIN,LAV,MIN04,pass,8,1,221 Strong Pass AYTZB 1S29S Normal,221,Strong,Normal,3or4-8-9,True 34,Regular Personnel,Cover-2,Blitz 1,None,None,3long,CB Tony Jozwiak,,WILB M.Simmons,None,None,False,,,7,1S29S,AYTZB,1,S,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,96,OWN5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
6,1Q,10,42,1,1,10,MIN,LAV,MIN12,pass,0,0,113 Weak Pass XRYZA F508S Normal,113,Weak,Normal,1-10earn,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,,,,None,None,False,,,8,F508S,XRYZA,F,5,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,88,NORMAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,1Q,10,36,1,2,10,MIN,LAV,MIN12,pass,0,0,113t Pro Pass ZXYAR 460S2 Normal,113t,Pro,Normal,1or2-10-12,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,,,,None,None,False,,,9,460S2,ZXYAR,4,6,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,88,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
8,1Q,10,30,1,3,10,MIN,LAV,MIN12,pass,20,0,113 Pro Pass YZXAR 7F0S8 Normal,113,Pro,Normal,3or4-10-12,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,3long,S Britt Gonzalez,CB Dwayne Neil,SILB J.Hoffman,None,None,False,,,10,7F0S8,YZXAR,7,F,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,88,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9,1Q,9,54,1,1,10,MIN,LAV,MIN32,pass,0,1,113 Strong Pass XYZAR S9204 Normal,113,Strong,Normal,1-10earn,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,ILB Josue Hoffman,,,None,None,False,,,11,S9204,XYZAR,S,9,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,68,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
10,1Q,9,19,1,2,10,MIN,LAV,MIN32,pass,3,0,113t I Pass XRYZA 4FF32 Normal,113t,I,Normal,1or2-10-12,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,ILB Josue Hoffman,OLB Jacob MaKinster,,None,None,False,,,12,4FF32,XRYZA,4,F,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,68,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
11,1Q,8,45,1,3,7,MIN,LAV,MIN35,pass,0,0,113 Weak Pass XRYZA 7F24S Normal,113,Weak,Normal,3or4-6-7,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,3long,,,WLB M.Simmons,None,None,False,,,13,7F24S,XRYZA,7,F,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,65,NORMAL,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
12,1Q,8,29,2,1,10,LAV,MIN,LAV29,run,6,0,122 Strong Run 25 Normal,122,Strong,Normal,1-10poss,43 Over,Regular Personnel,Cover-1,No Blitz,None,None,Normal,ILB Phil Mathis,DE Leroy Huffman,,None,None,False,2,5,15,,,,,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,71,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,1Q,7,46,2,2,4,LAV,MIN,LAV35,run,3,0,104 Pro Run 22 Normal,104,Pro,Normal,1or2-3-5,43 Over,Dime Personnel,Cover-2,No Blitz,None,None,Normal,CB Peter Ginwright,DE Carl Cervantes,,None,None,False,2,2,16,,,,,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,65,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,1Q,7,12,2,3,1,LAV,MIN,LAV38,run,0,0,122 Strong Run 25 Normal,122,Strong,Normal,3or4-1,43 Over,Regular Personnel,"Man to Man, Buzz",No Blitz,None,None,3short,DT Levi Farrell,,,None,None,False,2,5,17,,,,,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,62,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,1Q,6,29,3,1,10,MIN,LAV,MIN27,run,13,0,113t I Run 27 Normal,113t,I,Normal,1-10poss,True 34,Nickel Personnel,Press-2,No Blitz,None,None,Normal,OLB KIZZ MaKinster,,,None,None,False,2,7,19,,,,,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,73,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,1Q,6,1,3,1,10,MIN,LAV,MIN40,run,1,0,122 Strong Run 21 Pistol,122,Strong,Pistol,1-10earn,True 34,Regular Personnel,Cover-2,No Blitz,None,None,Normal,ILB Josue Hoffman,,,None,None,False,2,1,20,,,,,0,2053,Exhibition Week 5,Las Vegas ,CA,52,1 ,fair,60,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
