quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,14,50,0,1,15,BUF,NOS,BUF20,run,4,0,122 Weak Run 21 Normal,122,Weak,Normal,1or2-13+,43 Under,Regular Personnel,"Cover-1, Buzz",No Blitz,None,Spy,Normal,ILB Ike Grui,,,None,None,False,2,1,2,,,,,0,2053,Week 12,New Orleans,LA,49,1 ,fair,80,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,14,28,0,2,11,BUF,NOS,BUF24,pass,22,8,122 Strong Pass TZXYA 0610S Normal,122,Strong,Normal,1or2-10-12,43 Under,Regular Personnel,"Cover-1, Buzz",No Blitz,None,None,Normal,CB Anthony Wayne,,,None,None,False,,,3,0610S,TZXYA,0,6,0,2053,Week 12,New Orleans,LA,49,1 ,fair,76,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,14,0,0,1,10,BUF,NOS,BUF46,run,0,0,203 Pro Run 21 Normal,203,Pro,Normal,1-10earn,43 Under,Nickel Personnel,Press-2,No Blitz,None,None,Normal,S Josiah Pearson,OLB Angel Gaines,,None,None,False,2,1,4,,,,,0,2053,Week 12,New Orleans,LA,49,1 ,fair,54,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,33,0,2,10,BUF,NOS,BUF46,run,2,0,221 Pro Run 25 Normal,221,Pro,Normal,1or2-10-12,43 Under,Regular Personnel,Press-1,No Blitz,None,Spy,Normal,S Scott Humphrey,,,None,None,False,2,5,5,,,,,0,2053,Week 12,New Orleans,LA,49,1 ,fair,54,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,2,0,3,8,BUF,NOS,BUF48,pass,6,0,230 Pro Pass YBTUA 81701 Normal,230,Pro,Normal,3or4-8-9,43 Under,Regular Personnel,"Press-1, Buzz",No Blitz,Double,None,3long,CB Anthony Wayne,,,None,None,False,,,6,81701,YBTUA,8,1,0,2053,Week 12,New Orleans,LA,49,1 ,fair,52,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,12,10,1,1,10,NOS,BUF,NOS20,run,-1,0,113 I Run 24 Normal,113,I,Normal,1-10poss,34 Eagle,Nickel Personnel,Cover-3 Sky,No Blitz,None,None,Normal,ILB Clyde Rivera,,,None,None,False,2,4,8,,,,,0,2053,Week 12,New Orleans,LA,49,1 ,fair,80,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,11,50,1,2,11,NOS,BUF,NOS19,run,3,0,113t I Run 25 Normal,113t,I,Normal,1or2-10-12,34 Eagle,Nickel Personnel,Cover-3 Sky,No Blitz,None,None,Normal,OLB Quentin Stevens,ILB Clyde Rivera,,None,None,False,2,5,9,,,,,0,2053,Week 12,New Orleans,LA,49,1 ,fair,81,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,56,1,1,10,NOS,BUF,NOS37,pass,18,20,212 I Pass AZXB S7DW Normal,212,I,Normal,1-10earn,34 Eagle,Regular Personnel,Cover-1,Blitz 2,None,None,Normal,OLB Corbin Whalen,,"['WILB T.Dehaven', 'WLB Q.Stevens']",None,None,False,,,11,S7DW,AZXB,S,7,0,2053,Week 12,New Orleans,LA,49,1 ,fair,63,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,33,1,1,10,NOS,BUF,BUF45,run,6,0,113t I Run 27 Normal,113t,I,Normal,1-10earn,34 Eagle,Nickel Personnel,Cover-2,No Blitz,None,Spy,Normal,ILB Clyde Rivera,,,None,None,False,2,7,12,,,,,0,2053,Week 12,New Orleans,LA,49,1 ,fair,45,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,9,59,1,2,4,NOS,BUF,BUF39,pass,23,13,212 Pro Pass YXZA 230S Normal,212,Pro,Normal,1or2-3-5,34 Eagle,Regular Personnel,"Cover-3 Sky, Buzz",No Blitz,None,None,Normal,OLB Corbin Whalen,CB Dominique McGregor,,None,None,False,,,13,230S,YXZA,2,3,0,2053,Week 12,New Orleans,LA,49,1 ,fair,39,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
