,quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
0,1Q,15,0,0,1,10,IND,ATL,IND25,run,3,0,203 Weak Run 25 Normal,203,Weak,Normal,1-10poss,34 Eagle,Nickel Personnel,Press-2,No Blitz,None,None,Normal,DE Tanner Etaton,ILB Frankie Agbabian,,None,None,False,2,5,1,,,,,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1Q,14,19,0,2,7,IND,ATL,IND28,run,3,0,113 I Run 26 Normal,113,I,Normal,1or2-6-9,34 Eagle,Nickel Personnel,Cover-3 Sky,No Blitz,None,None,Normal,DE Tanner Etaton,CB Lincoln Jarvis,,None,None,False,2,6,2,,,,,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,72,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1Q,13,47,0,3,4,IND,ATL,IND31,pass,5,0,230 I Pass YBTUA 0S93S Normal,230,I,Normal,3or4-4-5,34 Eagle,Regular Personnel,"Press-1, Buzz",Blitz 1,None,None,3long,S Everett Diaz,,WILB D.Thornton,None,None,False,,,3,0S93S,YBTUA,0,S,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,69,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3,1Q,13,17,0,1,10,IND,ATL,IND36,run,-2,0,113 Pro Run 26 Normal,113,Pro,Normal,1-10earn,34 Eagle,Nickel Personnel,Press-1,No Blitz,None,None,Normal,ILB Frankie Agbabian,,,None,None,False,2,6,4,,,,,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,64,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4,1Q,12,44,0,2,12,IND,ATL,IND34,pass,-7,0,122 Pro Pass XTYZA 2WFFS Normal,122,Pro,Normal,1or2-10-12,34 Eagle,Regular Personnel,Press-2,Blitz 2,None,None,Normal,,,"['SILB F.Agbabian', 'WLB D.Thornton']",None,None,False,,,5,2WFFS,XTYZA,2,W,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,66,NORMAL,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,1Q,12,10,0,3,19,IND,ATL,IND27,pass,0,0,212 Pro Pass ZYXAB 7232S Normal,212,Pro,Normal,3or4-17+,34 Eagle,Regular Personnel,Cover-3 Sky,Blitz 1,None,None,3long,,,WLB T.England,None,None,False,,,6,7232S,ZYXAB,7,2,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,73,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
6,1Q,11,52,1,1,10,ATL,IND,ATL32,scramble,8,0,122 I Pass YZXT 142F Normal,122,I,Normal,1-10poss,43 Under,Regular Personnel,Cover-2,Blitz 1,None,None,Normal,OLB Leslie Gribble,,MLB N.Bronson,None,None,False,,,8,142F,YZXT,1,4,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,68,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,1Q,11,9,1,2,2,ATL,IND,ATL40,run,4,0,113 Pro Run 24 Normal,113,Pro,Normal,1or2-1-2,43 Under,Nickel Personnel,Press-2,No Blitz,None,None,Normal,S Bruce Kellenberger,DT Roy Clouse,,None,None,False,2,4,9,,,,,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,60,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,1Q,10,29,1,1,10,ATL,IND,ATL44,run,3,0,113 I Run 25 Normal,113,I,Normal,1-10earn,43 Under,Nickel Personnel,Cover-1,No Blitz,None,None,Normal,DT Roy Clouse,,,None,None,False,2,5,10,,,,,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,56,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,1Q,9,58,1,2,7,ATL,IND,ATL47,run,8,0,122 Weak Run 21 Pistol,122,Weak,Pistol,1or2-6-9,43 Under,Regular Personnel,Press-1,No Blitz,None,None,Normal,ILB Norbert Bronson,,,None,None,False,2,1,11,,,,,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,53,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,1Q,9,16,1,1,10,ATL,IND,IND45,pass,0,0,014 Pistol Pass YXZRS 12DF6 Normal,014,Pistol,Normal,1-10earn,43 Under,Dime Personnel,Press-2,No Blitz,None,None,Normal,,,, WR Gabe Thomason,an Illegal Formation,False,,,12,12DF6,YXZRS,1,2,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,45,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
11,1Q,9,11,1,2,10,ATL,IND,IND45,pass,-6,0,122 I Pass ZYXT 1238 Normal,122,I,Normal,1or2-10-12,43 Under,Regular Personnel,Press-1,No Blitz,None,None,Normal,,,,None,None,False,,,13,1238,ZYXT,1,2,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,45,NORMAL,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
12,1Q,8,42,1,3,16,ATL,IND,ATL49,pass,13,0,113 I Pass RXYZ 4F26 Normal,113,I,Normal,3or4-13-16,43 Under,Nickel Personnel,Cover-3 Cloud,No Blitz,None,None,3long,CB Kerry Prescott,ILB Clifton Craig,,None,None,False,,,14,4F26,RXYZ,4,F,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,51,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
13,1Q,7,52,2,1,10,IND,ATL,IND20,run,-4,0,212 Pro Run 23 Normal,212,Pro,Normal,1-10poss,34 Eagle,Regular Personnel,Cover-1,No Blitz,None,None,Normal,DT Camden Nelson,,,None,None,False,2,3,16,,,,,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,80,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14,1Q,7,25,2,2,14,IND,ATL,IND16,run,7,0,212 I Run 20 Normal,212,I,Normal,1or2-13+,34 Eagle,Regular Personnel,Press-2,No Blitz,None,None,Normal,S Everett Diaz,DE Peyton Relf,, T Cody Poore,Offensive Holding,False,2,0,17,,,,,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,84,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,1Q,7,18,2,2,22,IND,ATL,IND08,scramble,7,0,113 Weak Pass ZAXYR 9S155 Normal,113,Weak,Normal,1or2-13+,34 Eagle,Nickel Personnel,Press-1,Blitz 3,None,None,Normal,S Vincent Crenshaw,,"['SLB G.Page', 'WLB D.Thornton', 'RCB T.England']",None,None,False,,,18,9S155,ZAXYR,9,S,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,92,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,1Q,6,48,2,3,15,IND,ATL,IND15,pass,3,0,104 Strong Pass XZRS 250S Normal,104,Strong,Normal,3or4-13-16,34 Eagle,Dime Personnel,Cover-3 Cloud,Blitz 1,None,None,3long,S Bobby Seebaldt,CB Jake Hyland,WLB D.Thornton,None,None,False,,,19,250S,XZRS,2,5,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,85,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
17,1Q,6,3,3,1,10,ATL,IND,ATL27,scramble,1,0,212 Pro Pass XYZA 224F Normal,212,Pro,Normal,1-10poss,43 Under,Regular Personnel,Cover-3 Cloud,No Blitz,None,None,Normal,ILB Norbert Bronson,,,None,None,False,,,21,224F,XYZA,2,2,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,73,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,1Q,5,34,3,2,9,ATL,IND,ATL28,pass,13,7,203 I Pass XRZA 2290 Normal,203,I,Normal,1or2-6-9,43 Under,Nickel Personnel,Press-2,No Blitz,None,None,Normal,OLB Shawn Powell,,,None,None,False,,,22,2290,XRZA,2,2,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,72,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
19,1Q,5,2,3,1,10,ATL,IND,ATL41,pass,0,0,005 Empty Pass RVXZS S03D8 Normal,005,Empty,Normal,1-10earn,43 Under,Dime Personnel,Cover-2,Blitz 1,None,None,Normal,DE Buddy Marlowe,,LCB C.Williams,None,None,False,,,23,S03D8,RVXZS,S,0,0,2053,Exhibition Week 3,Atlanta,GA,92,13 ,fair,59,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
