quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,15,0,0,1,10,SFO,WAS,SFO25,run,-4,0,113t Strong Run 26 Normal,113t,Strong,Normal,1-10poss,43 Under,Nickel Personnel,Tampa-2,No Blitz,None,Spy,Normal,ILB Levi Zaragoza,,,None,None,False,2,6,1,,,,,0,2059,Week 5,San Francisco,CA,65,9 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,14,20,0,2,14,SFO,WAS,SFO21,pass,5,0,014 Empty Pass RSXZ 2S99 Normal,014,Empty,Normal,1or2-13+,43 Under,Dime Personnel,Press-1,Blitz 2,None,None,Normal,CB K,,"['LCB P.Douglas', 'RCB E.Jacob']",None,None,False,,,2,2S99,RSXZ,2,S,0,2059,Week 5,San Francisco,CA,65,9 ,fair,79,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,13,39,0,3,9,SFO,WAS,SFO26,pass,20,12,113 I Pass RXYZ 0WW3 Normal,113,I,Normal,3or4-8-9,43 Under,Nickel Personnel,Cover-3 Cloud,No Blitz,None,None,3long,ILB Levi Zaragoza,CB Perry Douglas,,None,None,False,,,3,0WW3,RXYZ,0,W,0,2059,Week 5,San Francisco,CA,65,9 ,fair,74,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,13,2,0,1,10,SFO,WAS,SFO46,run,-1,0,122 Strong Run 26 Shotgun,122,Strong,Shotgun,1-10earn,43 Under,Regular Personnel,Press-1,No Blitz,None,Spy,Normal,DT Cedric Yeung,S Jason Behne,,None,None,False,2,6,4,,,,,0,2059,Week 5,San Francisco,CA,65,9 ,fair,54,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,12,17,0,2,11,SFO,WAS,SFO45,pass,8,1,221 Pro Pass TAYZB 2051S Pistol,221,Pro,Pistol,1or2-10-12,43 Under,Regular Personnel,Press-1,Blitz 2,None,None,Normal,OLB Albert Carlisle,,"['MLB L.Zaragoza', 'WLB D.Jacobs']",None,None,False,,,5,2051S,TAYZB,2,0,0,2059,Week 5,San Francisco,CA,65,9 ,fair,55,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,11,43,0,3,3,SFO,WAS,WAS47,pass,21,24,113 Strong Pass RAXZ SSD5 Normal,113,Strong,Normal,3or4-3,43 Under,Nickel Personnel,Cover-3 Cloud,No Blitz,None,None,3long,CB Perry Douglas,,,None,None,False,,,6,SSD5,RAXZ,S,S,0,2059,Week 5,San Francisco,CA,65,9 ,fair,47,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,56,0,1,10,SFO,WAS,WAS26,run,0,0,113 Pro Run 24 Normal,113,Pro,Normal,1-10earn,43 Under,Nickel Personnel,Press-1,No Blitz,None,None,Normal,DT Chance Winters,,,None,None,False,2,4,7,,,,,0,2059,Week 5,San Francisco,CA,65,9 ,fair,26,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,32,0,2,10,SFO,WAS,WAS26,run,9,0,113t Pro Run 20 Normal,113t,Pro,Normal,1or2-10-12,43 Under,Nickel Personnel,Press-1,No Blitz,None,Spy,Normal,S Brad Garza,OLB Dennis Jacobs,,None,None,False,2,0,8,,,,,0,2059,Week 5,San Francisco,CA,65,9 ,fair,26,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,9,49,0,3,1,SFO,WAS,WAS17,run,10,0,113 Weak Run 26 Shotgun,113,Weak,Shotgun,3or4-1,43 Under,Nickel Personnel,Press-2,No Blitz,None,Spy,3short,OLB Dennis Jacobs,OLB Albert Carlisle,,None,None,False,2,6,9,,,,,0,2059,Week 5,San Francisco,CA,65,9 ,fair,17,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,9,13,0,1,7,SFO,WAS,WAS07,pass,7,0,113 Strong Pass RAXZ SSD5 Normal,113,Strong,Normal,1or2-6-9,43 Under,Nickel Personnel,"Press-1, Buzz",No Blitz,None,None,Normal,,,,None,None,False,,,10,SSD5,RAXZ,S,S,0,2059,Week 5,San Francisco,CA,65,9 ,fair,7,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1Q,8,35,1,1,10,WAS,SFO,WAS18,run,23,0,113 Pro Run 20 Normal,113,Pro,Normal,1-10poss,True 34,Nickel Personnel,Cover-1,No Blitz,None,None,Normal,OLB C,,,None,None,False,2,0,13,,,,,0,2059,Week 5,San Francisco,CA,65,9 ,fair,82,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,7,51,1,1,10,WAS,SFO,WAS41,pass,-6,0,113t Strong Pass YZXR 2231 Pistol,113t,Strong,Pistol,1-10earn,True 34,Nickel Personnel,Cover-1,Blitz 1,None,None,Normal,,,WLB C.Fox,None,None,False,,,14,2231,YZXR,2,2,0,2059,Week 5,San Francisco,CA,65,9 ,fair,59,NORMAL,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,7,12,1,2,16,WAS,SFO,WAS35,run,7,0,113t Strong Run 27 Pistol,113t,Strong,Pistol,1or2-13+,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,ILB Zane Carter,,,None,None,False,2,7,15,,,,,0,2059,Week 5,San Francisco,CA,65,9 ,fair,65,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,6,33,1,3,9,WAS,SFO,WAS42,pass,-7,0,122 Pro Pass ZXYA 332S Normal,122,Pro,Normal,3or4-8-9,True 34,Regular Personnel,Cover-1,Blitz 2,None,None,3long,,,"['WILB C.Fox', 'WLB J.Dillon']",None,None,False,,,16,332S,ZXYA,3,3,0,2059,Week 5,San Francisco,CA,65,9 ,fair,58,NORMAL,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,5,42,2,1,10,SFO,WAS,SFO17,run,12,0,104 Weak Run 20 Shotgun,104,Weak,Shotgun,1-10poss,43 Under,Dime Personnel,Tampa-2,No Blitz,None,Spy,Normal,CB Edwin Jacob,,,None,None,False,2,0,18,,,,,0,2059,Week 5,San Francisco,CA,65,9 ,fair,83,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,5,13,2,1,10,SFO,WAS,SFO29,pass,0,0,131 I Pass ZTYU 1237 Normal,131,I,Normal,1-10earn,43 Under,Regular Personnel,Press-1,No Blitz,Double,None,Normal,,,,None,None,False,,,19,1237,ZTYU,1,2,0,2059,Week 5,San Francisco,CA,65,9 ,fair,71,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1Q,5,8,2,2,10,SFO,WAS,SFO29,scramble,4,0,104 Weak Pass ZSXR 7894 Shotgun,104,Weak,Shotgun,1or2-10-12,43 Under,Dime Personnel,Press-1,Blitz 2,None,None,Normal,CB K,,"['MLB R.Hopper', 'LCB P.Douglas']",None,None,False,,,20,7894,ZSXR,7,8,0,2059,Week 5,San Francisco,CA,65,9 ,fair,71,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,4,27,2,3,6,SFO,WAS,SFO33,pass,0,0,113t Strong Pass RXZ 011 Normal,113t,Strong,Normal,3or4-6-7,43 Under,Nickel Personnel,Cover-3 Cloud,No Blitz,None,None,3long,,,,None,None,False,,,21,011,RXZ,0,1,0,2059,Week 5,San Francisco,CA,65,9 ,fair,67,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1Q,4,13,3,1,10,WAS,SFO,WAS29,run,1,0,113t Strong Run 23 Normal,113t,Strong,Normal,1-10poss,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,S Justics Chamblin,DT Owen Rupp,,None,None,False,2,3,23,,,,,0,2059,Week 5,San Francisco,CA,65,9 ,fair,71,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,3,48,3,2,9,WAS,SFO,WAS30,run,7,0,212 Pro Run 20 Shotgun,212,Pro,Shotgun,1or2-6-9,True 34,Regular Personnel,Press-2,No Blitz,None,None,Normal,DE Ellis Spearman,,,None,None,False,2,0,24,,,,,0,2059,Week 5,San Francisco,CA,65,9 ,fair,70,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,3,26,3,3,2,WAS,SFO,WAS37,pass,4,0,113 Strong Pass ZXYAR 092FD Shotgun,113,Strong,Shotgun,3or4-2,True 34,Nickel Personnel,Press-1,No Blitz,None,None,3short,ILB Marvin Abdullah,ILB Cory Andersen,,None,None,False,,,25,092FD,ZXYAR,0,9,0,2059,Week 5,San Francisco,CA,65,9 ,fair,63,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,2,53,3,1,10,WAS,SFO,WAS41,pass,4,2,113t Pro Pass XZYAR 5F0SS Normal,113t,Pro,Normal,1-10earn,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,ILB Zane Carter,,NB J.Dillon,None,None,False,,,26,5F0SS,XZYAR,5,F,0,2059,Week 5,San Francisco,CA,65,9 ,fair,59,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,2,23,3,2,6,WAS,SFO,WAS45,pass,11,0,131 Pro Pass ZYTU 1122 Normal,131,Pro,Normal,1or2-6-9,True 34,Regular Personnel,"Press-1, Buzz",Blitz 2,None,None,Normal,CB Frank Turnbow,,"['SILB Z.Carter', 'WLB E.Howe']",None,None,False,,,27,1122,ZYTU,1,1,0,2059,Week 5,San Francisco,CA,65,9 ,fair,55,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,1,42,3,1,10,WAS,SFO,SFO44,pass,8,6,113 Strong Pass XRYZA SS24S Normal,113,Strong,Normal,1-10earn,True 34,Nickel Personnel,Cover-1,Blitz 1,None,None,Normal,ILB Zane Carter,,WLB C.Fox,None,None,False,,,28,SS24S,XRYZA,S,S,0,2059,Week 5,San Francisco,CA,65,9 ,fair,44,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,1,22,3,2,2,WAS,SFO,SFO36,pass,7,4,104 I Pass XSRZ FSF1 Normal,104,I,Normal,1or2-1-2,True 34,Dime Personnel,Press-2,No Blitz,None,None,Normal,OLB Kyle Tyler,CB Jonah Caillouet,, T Justin Shabowski,Offensive Holding,False,,,29,FSF1,XSRZ,F,S,0,2059,Week 5,San Francisco,CA,65,9 ,fair,36,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
