quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,14,25,0,1,10,SFO,PHI,SFO27,run,6,0,212 Pro Run 23 Normal,212,Pro,Normal,1-10poss,True 34,Regular Personnel,Cover-2,No Blitz,None,None,Normal,ILB Jerome Gonser,,,None,None,False,2,3,1,,,,,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,73,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,48,0,2,4,SFO,PHI,SFO33,pass,-8,0,113 Weak Pass XZYAR WS3FF Normal,113,Weak,Normal,1or2-3-5,True 34,Nickel Personnel,Press-2,Blitz 1,Double,None,Normal,,,NB C.Clark, G Cris Burkholder,an Illegal Block Below the Waist,False,,,2,WS3FF,XZYAR,W,S,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,67,NORMAL,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,35,0,3,12,SFO,PHI,SFO25,scramble,5,0,104 Pro Pass ZRXAS 51802 Normal,104,Pro,Normal,3or4-10-12,True 34,Dime Personnel,Cover-3 Cloud,No Blitz,None,None,3long,OLB Leonardo Shaw,,,None,None,False,,,3,51802,ZRXAS,5,1,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,57,1,1,10,PHI,SFO,PHI13,run,-6,0,113t Strong Run 20 Normal,113t,Strong,Normal,1-10poss,True 34,Nickel Personnel,Press-2,No Blitz,None,None,Normal,S Malik Craighead,,,None,None,False,2,0,5,,,,,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,87,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,12,21,1,2,19,PHI,SFO,PHI04,run,1,0,104 Weak Run 23 Pistol,104,Weak,Pistol,1or2own5,True 34,Dime Personnel,Press-2,No Blitz,None,None,Normal,DT Buddy Parker,,,None,None,False,2,3,7,,,,,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,96,OWN5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,49,1,3,18,PHI,SFO,PHI05,pass,0,0,212 Pro Pass ZYXAB 46F12 Shotgun,212,Pro,Shotgun,3or4-17+,True 34,Regular Personnel,Cover-2,No Blitz,None,None,3long,,,,None,None,False,,,8,46F12,ZYXAB,4,6,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,95,OWN5,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1Q,11,33,2,1,10,SFO,PHI,SFO44,run,-6,0,113 I Run 27 Normal,113,I,Normal,1-10poss,True 34,Nickel Personnel,Cover-3 Cloud,No Blitz,None,None,Normal,DT Francisco DiNicolas,DE Roberto Moye,,None,None,False,2,7,10,,,,,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,56,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,10,54,2,2,16,SFO,PHI,SFO38,run,10,0,113t Strong Run 25 Normal,113t,Strong,Normal,1or2-13+,True 34,Nickel Personnel,Press-2,No Blitz,None,None,Normal,OLB Sean Sanderson,ILB Jerome Gonser,,None,None,False,2,5,11,,,,,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,62,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,27,2,3,6,SFO,PHI,SFO48,pass,3,0,203 Strong Pass ZXRA 1W0S Normal,203,Strong,Normal,3or4-6-7,True 34,Nickel Personnel,Cover-3 Cloud,Blitz 1,None,None,3long,CB Earnest Gaines,,RCB P.Sparrow,None,None,False,,,12,1W0S,ZXRA,1,W,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,52,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,48,3,1,10,PHI,SFO,PHI20,pass,21,3,122 Strong Pass TZXY 5W61 Normal,122,Strong,Normal,1-10poss,True 34,Regular Personnel,Press-2,No Blitz,None,None,Normal,OLB Zane Carter,ILB Ouch Ostrow,,None,None,False,,,14,5W61,TZXY,5,W,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,80,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,1,3,1,10,PHI,SFO,PHI41,run,9,0,131 Strong Run 16 Shotgun,131,Strong,Shotgun,1-10earn,True 34,Regular Personnel,Cover-2,No Blitz,None,None,Normal,S Quinn Donhoff,,,None,None,False,1,6,15,,,,,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,59,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,8,25,3,2,1,PHI,SFO,PHI50,pass,0,0,221 Weak Pass ZYA 11S Normal,221,Weak,Normal,1or2-1-2,True 34,Regular Personnel,Cover-1,Blitz 1,None,None,Normal,,,WILB J.Ostrow,None,None,False,,,16,11S,ZYA,1,1,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,50,NORMAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1Q,8,19,3,3,1,PHI,SFO,PHI50,run,-4,0,113t Weak Run 21 Shotgun,113t,Weak,Shotgun,3or4-1,True 34,Nickel Personnel,Cover-1,No Blitz,None,None,3short,DT Arturo Hogans,OLB Abraham Pendergraft,,None,None,False,2,1,17,,,,,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,50,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,7,34,4,1,10,SFO,PHI,SFO15,pass,8,0,113 I Pass XRYZ 2593 Normal,113,I,Normal,1-10poss,True 34,Nickel Personnel,Cover-3 Cloud,Blitz 1,None,None,Normal,OLB Leonardo Shaw,,SILB J.Gonser,None,None,False,,,19,2593,XRYZ,2,5,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,85,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,7,1,4,2,2,SFO,PHI,SFO23,run,12,0,122 Strong Run 20 Normal,122,Strong,Normal,1or2-1-2,True 34,Regular Personnel,Press-2,No Blitz,None,None,Normal,OLB Leonardo Shaw,,,None,None,False,2,0,20,,,,,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,77,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,6,31,4,1,10,SFO,PHI,SFO35,run,5,0,122 Pro Run 26 Normal,122,Pro,Normal,1-10earn,True 34,Regular Personnel,Press-2,No Blitz,None,None,Normal,S Tyrell Quarles,ILB Jerome Gonser,,None,None,False,2,6,21,,,,,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,65,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,5,57,4,2,5,SFO,PHI,SFO40,run,3,0,113 Strong Run 25 Normal,113,Strong,Normal,1or2-3-5,True 34,Nickel Personnel,Cover-3 Cloud,No Blitz,None,None,Normal,DT Francisco DiNicolas,,,None,None,False,2,5,22,,,,,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,60,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,5,14,4,3,2,SFO,PHI,SFO43,run,6,0,113t I Run 24 Normal,113t,I,Normal,3or4-2,True 34,Nickel Personnel,Cover-1,No Blitz,None,None,3short,DT Francisco DiNicolas,ILB Jerome Gonser,,None,None,False,2,4,23,,,,,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,57,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,4,52,4,1,10,SFO,PHI,SFO49,pass,7,5,212 Pro Pass ZBXYA 1S31S Normal,212,Pro,Normal,1-10earn,True 34,Regular Personnel,Cover-2,Blitz 1,None,None,Normal,S Tyrell Quarles,,SILB J.Gonser,None,None,False,,,24,1S31S,ZBXYA,1,S,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,51,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,4,28,4,2,3,SFO,PHI,PHI44,pass,8,0,131 Pro Pass ZTYU 5451 Normal,131,Pro,Normal,1or2-3-5,True 34,Regular Personnel,Cover-2,Blitz 1,None,None,Normal,CB Earnest Gaines,,SLB S.Sanderson,None,None,False,,,25,5451,ZTYU,5,4,0,2053,Week 10,Philadelphia,PA,32,11 ,rain,44,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
