quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,14,35,0,1,10,CAR,MIA,CAR16,run,0,0,113 I Run 26 Normal,113,I,Normal,1-10poss,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,ILB Gerald Hobson,,,None,None,False,2,6,1,,,,,0,2057,Week 12,Carolina,NC,47,1 ,fair,84,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,14,7,0,2,10,CAR,MIA,CAR16,run,-4,0,113t Weak Run 25 Shotgun,113t,Weak,Shotgun,1or2-10-12,True 34,Nickel Personnel,Press-2,No Blitz,None,None,Normal,DE Rick Bumpers,OLB Dwayne Moose,,None,None,False,2,5,2,,,,,0,2057,Week 12,Carolina,NC,47,1 ,fair,84,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,13,39,0,3,14,CAR,MIA,CAR12,pass,11,0,113t I Pass ZAXR WSS2 Normal,113t,I,Normal,3or4-13-16,True 34,Nickel Personnel,Cover-4,Blitz 1,None,None,3long,S Zachary Matock,CB Zack Reeves,WLB S.Nelson,None,None,False,,,3,WSS2,ZAXR,W,S,0,2057,Week 12,Carolina,NC,47,1 ,fair,88,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,12,36,1,1,15,MIA,CAR,MIA40,run,-4,0,113 Weak Run 26 Normal,113,Weak,Normal,1or2-13+,43 Under,Nickel Personnel,Press-2,No Blitz,None,Spy,Normal,S Bryant Uusutalo,,,None,None,False,2,6,6,,,,,0,2057,Week 12,Carolina,NC,47,1 ,fair,60,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,12,3,1,2,19,MIA,CAR,MIA36,pass,11,4,113 I Pass XRZ 429 Normal,113,I,Normal,1or2-13+,43 Under,Nickel Personnel,Tampa-2,Blitz 1,None,None,Normal,S Antoine Bout,,WLB C.Richardson,None,None,False,,,7,429,XRZ,4,2,0,2057,Week 12,Carolina,NC,47,1 ,fair,64,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,11,26,1,3,8,MIA,CAR,MIA47,run,5,0,104 I Run 27 Normal,104,I,Normal,3or4-8-9,43 Under,Dime Personnel,Cover-3 Cloud,No Blitz,None,None,3long,S Bryant Uusutalo,,,None,None,False,2,7,8,,,,,0,2057,Week 12,Carolina,NC,47,1 ,fair,53,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,55,2,1,10,CAR,MIA,CAR20,pass,4,0,113t Weak Pass YAXZR 2S8W2 Normal,113t,Weak,Normal,1-10poss,True 34,Nickel Personnel,Press-2,Blitz 2,None,None,Normal,S Devon Vance,DE Jerald Compton,"['SILB G.Hobson', 'WLB S.Nelson']",None,None,False,,,10,2S8W2,YAXZR,2,S,0,2057,Week 12,Carolina,NC,47,1 ,fair,80,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,23,2,2,6,CAR,MIA,CAR24,pass,21,19,113t Strong Pass XZAR S12F Normal,113t,Strong,Normal,1or2-6-9,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,CB Zack Reeves,,WLB S.Nelson,None,None,False,,,11,S12F,XZAR,S,1,0,2057,Week 12,Carolina,NC,47,1 ,fair,76,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,49,2,1,10,CAR,MIA,CAR45,pass,8,0,113 Strong Pass XAZR FW2D Pistol,113,Strong,Pistol,1-10earn,True 34,Nickel Personnel,Press-2,Blitz 2,None,None,Normal,CB Grady Abrams,,"['WLB S.Nelson', 'NB Z.Reeves']",None,None,False,,,12,FW2D,XAZR,F,W,0,2057,Week 12,Carolina,NC,47,1 ,fair,55,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,23,2,2,2,CAR,MIA,MIA47,run,9,0,113 Strong Run 23 Shotgun,113,Strong,Shotgun,1or2-1-2,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DE Rick Bumpers,,,None,None,False,2,3,13,,,,,0,2057,Week 12,Carolina,NC,47,1 ,fair,47,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,8,56,2,1,10,CAR,MIA,MIA38,pass,6,0,113t Strong Pass YZXAR 1FFS2 Shotgun,113t,Strong,Shotgun,1-10earn,True 34,Nickel Personnel,Press-2,Blitz 2,None,None,Normal,OLB Dwayne Moose,,"['SILB G.Hobson', 'WLB S.Nelson']",None,None,False,,,14,1FFS2,YZXAR,1,F,0,2057,Week 12,Carolina,NC,47,1 ,fair,38,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,8,10,2,2,4,CAR,MIA,MIA32,pass,5,5,212 Pro Pass XAYZ 5S09 Normal,212,Pro,Normal,1or2-3-5,True 34,Regular Personnel,Cover-2,Blitz 2,None,None,Normal,CB Grady Abrams,,"['WILB S.Nelson', 'WLB L.Barker']",None,None,False,,,15,5S09,XAYZ,5,S,0,2057,Week 12,Carolina,NC,47,1 ,fair,32,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,7,24,2,1,10,CAR,MIA,MIA27,pass,26,18,212 I Pass XYZA S1F0 Normal,212,I,Normal,1-10earn,True 34,Regular Personnel,Press-2,Blitz 1,None,None,Normal,OLB Dwayne Moose,,WLB L.Barker,None,None,False,,,16,S1F0,XYZA,S,1,0,2057,Week 12,Carolina,NC,47,1 ,fair,27,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,6,56,2,1,1,CAR,MIA,MIA01,run,0,0,113t Strong Run 26 Pistol,113t,Strong,Pistol,1or2opp6,True 34,Goal Line Personnel,"Man to Man, Buzz",No Blitz,None,None,Normal,DT Pete Burgess,ILB Gerald Hobson,,None,None,False,2,6,17,,,,,0,2057,Week 12,Carolina,NC,47,1 ,fair,1,OPP6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,6,26,2,2,1,CAR,MIA,MIA01,pass,1,0,212 I Pass XYZA S1F0 Normal,212,I,Normal,1or2opp6,True 34,Goal Line Personnel,"Man to Man, Buzz",No Blitz,None,None,Normal,,,,None,None,False,,,18,S1F0,XYZA,S,1,0,2057,Week 12,Carolina,NC,47,1 ,fair,1,OPP6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1Q,6,20,3,1,10,MIA,CAR,MIA25,run,1,0,113 I Run 22 Normal,113,I,Normal,1-10poss,43 Under,Nickel Personnel,Press-2,No Blitz,None,Spy,Normal,OLB Corbin Richardson,S Antoine Bout,,None,None,False,2,2,21,,,,,0,2057,Week 12,Carolina,NC,47,1 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
