quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,15,0,0,1,10,TBY,MIN,TBY25,pass,15,0,113t Weak Pass RXYZA 6W1WW Normal,113t,Weak,Normal,1-10poss,43 Over,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,CB Elijah Wynn,CB Tyler Diaz,MLB D.Collins,None,None,False,,,1,6W1WW,RXYZA,6,W,0,2054,Week 3,Minnesota,MN,64,4 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,14,31,0,1,10,TBY,MIN,TBY40,reverse,-7,0,113 Weak Rev. rev7 Shotgun,113,Weak,Shotgun,1-10earn,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DT Ross Kelly,,,None,None,False,rev,7,2,,,,,0,2054,Week 3,Minnesota,MN,64,4 ,fair,60,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,13,55,0,2,17,TBY,MIN,TBY33,pass,0,0,005 Shotgun Pass RZXVS 8DD71 Normal,005,Shotgun,Normal,1or2-13+,43 Over,Dime Personnel,Cover-3 Cloud,No Blitz,None,None,Normal,,,,None,None,False,,,3,8DD71,RZXVS,8,D,0,2054,Week 3,Minnesota,MN,64,4 ,fair,67,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,47,0,3,17,TBY,MIN,TBY33,pass,27,5,131 Strong Pass ZUTYA 88W2F Pistol,131,Strong,Pistol,3or4-17+,43 Over,Regular Personnel,Cover-3 Cloud,No Blitz,None,None,3long,S Gregory Hill,,,None,None,False,,,4,88W2F,ZUTYA,8,8,0,2054,Week 3,Minnesota,MN,64,4 ,fair,67,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,13,9,0,1,10,TBY,MIN,MIN40,run,1,0,212 Pro Run 24 Shotgun,212,Pro,Shotgun,1-10earn,43 Over,Regular Personnel,"Man to Man, Buzz",No Blitz,None,None,Normal,S Corwin Clancy,S Gregory Hill,,None,None,False,2,4,5,,,,,0,2054,Week 3,Minnesota,MN,64,4 ,fair,40,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,27,0,2,9,TBY,MIN,MIN39,pass,3,0,122 Strong Pass XYZT 4344 Shotgun,122,Strong,Shotgun,1or2-6-9,43 Over,Regular Personnel,Cover-1,Blitz 1,None,None,Normal,OLB Johnathan Crummey,,MLB D.Collins,None,None,False,,,6,4344,XYZT,4,3,0,2054,Week 3,Minnesota,MN,64,4 ,fair,39,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,11,55,0,3,11,TBY,MIN,MIN41,scramble,8,0,113t Strong Pass RZXYA 4256S Shotgun,113t,Strong,Shotgun,3or4-10-12,43 Over,Nickel Personnel,Cover-3 Cloud,No Blitz,None,None,3long,OLB Colton Wilcox,,,None,None,False,,,8,4256S,RZXYA,4,2,0,2054,Week 3,Minnesota,MN,64,4 ,fair,41,NORMAL,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1Q,11,7,1,1,10,MIN,TBY,MIN25,pass,22,15,230 Strong Pass TAYUB 22551 Normal,230,Strong,Normal,1-10poss,43 Under,Regular Personnel,Cover-1,Blitz 1,Double,None,Normal,OLB Benjamin James,CB Shawn Ellington,MLB S.Floyd,None,None,False,,,11,22551,TAYUB,2,2,0,2054,Week 3,Minnesota,MN,64,4 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,10,20,1,1,10,MIN,TBY,MIN47,pass,0,0,221 Pro Pass BYTZ S4SS Shotgun,221,Pro,Shotgun,1-10earn,43 Under,Regular Personnel,Press-1,No Blitz,None,None,Normal,OLB Ed DeGirolamo,,,None,None,False,,,12,S4SS,BYTZ,S,4,0,2054,Week 3,Minnesota,MN,64,4 ,fair,53,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,57,1,2,10,MIN,TBY,MIN47,run,16,0,212 Pro Run 20 Shotgun,212,Pro,Shotgun,1or2-10-12,43 Under,Regular Personnel,Cover-2,No Blitz,None,None,Normal,S Tyler Worden,,,None,None,False,2,0,13,,,,,0,2054,Week 3,Minnesota,MN,64,4 ,fair,53,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,9,25,1,1,10,MIN,TBY,TBY37,run,6,0,113 Strong Run 24 Shotgun,113,Strong,Shotgun,1-10earn,43 Under,Nickel Personnel,Press-1,No Blitz,None,None,Normal,OLB KIZZ MaKinster,,,None,None,False,2,4,14,,,,,0,2054,Week 3,Minnesota,MN,64,4 ,fair,37,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,8,48,1,2,4,MIN,TBY,TBY31,run,3,0,113t Weak Run 20 Normal,113t,Weak,Normal,1or2-3-5,43 Under,Nickel Personnel,Press-1,No Blitz,None,None,Normal,S Tyler Worden,DT Alexis Buckley,,None,None,False,2,0,15,,,,,0,2054,Week 3,Minnesota,MN,64,4 ,fair,31,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,8,8,1,3,1,MIN,TBY,TBY28,run,5,0,122 I Run 23 Normal,122,I,Normal,3or4-1,43 Under,Regular Personnel,Press-1,No Blitz,None,None,3short,OLB Ed DeGirolamo,,,None,None,False,2,3,16,,,,,0,2054,Week 3,Minnesota,MN,64,4 ,fair,28,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,7,37,1,1,10,MIN,TBY,TBY23,pass,5,0,113t Pro Pass XYZAR 16SSF Normal,113t,Pro,Normal,1-10earn,43 Under,Nickel Personnel,Cover-3 Cloud,No Blitz,None,None,Normal,S Mitch Barton,,,None,None,False,,,17,16SSF,XYZAR,1,6,0,2054,Week 3,Minnesota,MN,64,4 ,fair,23,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,6,52,1,2,5,MIN,TBY,TBY18,pass,0,0,212 Weak Pass ZBXYA SF2WS Normal,212,Weak,Normal,1or2-3-5,43 Under,Regular Personnel,Man to Man,Blitz 2,None,None,Normal,,,"['MLB S.Floyd', 'WLB B.James']",None,None,False,,,18,SF2WS,ZBXYA,S,F,0,2054,Week 3,Minnesota,MN,64,4 ,fair,18,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1Q,6,46,1,3,5,MIN,TBY,TBY18,pass,0,0,113 Strong Pass ZYXAR 16FS7 Shotgun,113,Strong,Shotgun,3or4-4-5,43 Under,Nickel Personnel,Cover-2,Blitz 1,None,None,3long,,,MLB B.Kato,None,None,False,,,19,16FS7,ZYXAR,1,6,0,2054,Week 3,Minnesota,MN,64,4 ,fair,18,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
