quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,14,27,0,1,10,LAV,DEN,LAV14,run,10,0,113t Weak Run 23 Normal,113t,Weak,Normal,1-10poss,43 Over,Nickel Personnel,Press-1,No Blitz,None,None,Normal,DT Jameson Raag,DE Kendel Thomas,,None,None,False,2,3,1,,,,,0,2057,Week 11,Denver,CO,45,22 ,rain,86,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,43,0,1,10,LAV,DEN,LAV24,run,13,0,122 Weak Run 20 Normal,122,Weak,Normal,1-10earn,43 Over,Regular Personnel,Press-1,No Blitz,None,None,Normal,DE Kendel Thomas,DT Jameson Raag,,None,None,False,2,0,2,,,,,0,2057,Week 11,Denver,CO,45,22 ,rain,76,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,15,0,1,10,LAV,DEN,LAV37,run,19,0,113t Weak Cntr. 25 Normal,113t,Weak,Normal,1-10earn,43 Over,Nickel Personnel,Cover-1,No Blitz,None,None,Normal,S Braden Gonzalez,CB Dashawn Tarplin,,None,None,False,2,5,3,,,,,0,2057,Week 11,Denver,CO,45,22 ,rain,63,NORMAL,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1Q,12,38,0,1,10,LAV,DEN,DEN44,pass,17,8,113 Strong Pass ZXYAR 322S5 Pistol,113,Strong,Pistol,1-10earn,43 Over,Nickel Personnel,Press-1,No Blitz,None,None,Normal,S Gavin Rodriguez,,,None,None,False,,,4,322S5,ZXYAR,3,2,0,2057,Week 11,Denver,CO,45,22 ,rain,44,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,12,12,0,1,10,LAV,DEN,DEN27,run,3,0,212 Strong Run 26 Normal,212,Strong,Normal,1-10earn,43 Over,Regular Personnel,Cover-1,No Blitz,None,None,Normal,OLB Jamie Collier,,,None,None,False,2,6,5,,,,,0,2057,Week 11,Denver,CO,45,22 ,rain,27,NORMAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,49,0,2,7,LAV,DEN,DEN24,pass,7,0,113 Weak Pass XRYZA 2F532 Pistol,113,Weak,Pistol,1or2-6-9,43 Over,Nickel Personnel,Press-1,No Blitz,None,None,Normal,CB Dashawn Tarplin,,,None,None,False,,,6,2F532,XRYZA,2,F,0,2057,Week 11,Denver,CO,45,22 ,rain,24,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,11,24,0,1,10,LAV,DEN,DEN17,pass,17,0,230 I Pass TYUA 1014 Normal,230,I,Normal,1-10earn,43 Over,Regular Personnel,Cover-1,Blitz 1,None,None,Normal,,,SLB E.Ruggiero,None,None,False,,,7,1014,TYUA,1,0,0,2057,Week 11,Denver,CO,45,22 ,rain,17,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
1Q,11,18,1,1,10,DEN,LAV,DEN25,run,4,0,212 Strong Run 25 Normal,212,Strong,Normal,1-10poss,43 Under,Regular Personnel,Press-1,No Blitz,None,None,Normal,S Tre Dunn,,,None,None,False,2,5,10,,,,,0,2057,Week 11,Denver,CO,45,22 ,rain,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,51,1,2,6,DEN,LAV,DEN29,pass,9,5,122 Strong Pass ZYXAT F0113 Normal,122,Strong,Normal,1or2-6-9,43 Under,Regular Personnel,Press-1,No Blitz,None,None,Normal,CB Cris Najera,OLB Donnie Wells,,None,None,False,,,11,F0113,ZYXAT,F,0,0,2057,Week 11,Denver,CO,45,22 ,rain,71,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,25,1,1,10,DEN,LAV,DEN38,run,0,0,122 Pro Run 22 Normal,122,Pro,Normal,1-10earn,43 Under,Regular Personnel,Press-1,No Blitz,None,None,Normal,DT Ricky Charbonneau,,,None,None,False,2,2,12,,,,,0,2057,Week 11,Denver,CO,45,22 ,rain,62,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
