quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,14,41,0,1,10,BUF,KCY,BUF13,pass,0,0,122 Weak Pass TZXYA 44D0S Normal,122,Weak,Normal,1-10poss,43 Over,Regular Personnel,Press-1,No Blitz,None,None,Normal,,,,None,None,False,,,1,44D0S,TZXYA,4,4,0,2053,Week 10,Buffalo,NY,45,calm,fair,87,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1Q,14,35,0,2,10,BUF,KCY,BUF13,pass,10,0,122 Weak Pass TAXYZ 34W21 Normal,122,Weak,Normal,1or2-10-12,43 Over,Regular Personnel,Press-1,No Blitz,None,None,Normal,S Devon Vance,OLB Troy Gaillard,,None,None,False,,,2,34W21,TAXYZ,3,4,0,2053,Week 10,Buffalo,NY,45,calm,fair,87,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,13,48,0,1,10,BUF,KCY,BUF23,pass,0,0,023 Empty Pass TYXZR 16001 Normal,023,Empty,Normal,1-10earn,43 Over,Nickel Personnel,Tampa-2,No Blitz,Double,None,Normal,,,,None,None,False,,,3,16001,TYXZR,1,6,0,2053,Week 10,Buffalo,NY,45,calm,fair,77,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,43,0,2,10,BUF,KCY,BUF23,pass,22,4,113 Strong Pass RXYZA 5023S Normal,113,Strong,Normal,1or2-10-12,43 Over,Nickel Personnel,Cover-1,Blitz 1,None,None,Normal,S Devon Vance,,MLB L.Levels,None,None,False,,,4,5023S,RXYZA,5,0,0,2053,Week 10,Buffalo,NY,45,calm,fair,77,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,12,59,0,1,10,BUF,KCY,BUF45,pass,0,0,113t Strong Pass ZYXAR 612FW Normal,113t,Strong,Normal,1-10earn,43 Over,Nickel Personnel,Cover-1,Blitz 1,None,None,Normal,,,MLB L.Levels,None,None,False,,,5,612FW,ZYXAR,6,1,0,2053,Week 10,Buffalo,NY,45,calm,fair,55,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,53,0,2,10,BUF,KCY,BUF45,run,6,0,113 Strong Run 26 Normal,113,Strong,Normal,1or2-10-12,43 Over,Nickel Personnel,"Press-1, Buzz",No Blitz,None,None,Normal,DT Ruben McWilliams,DE Graham Rhodes,,None,None,False,2,6,6,,,,,0,2053,Week 10,Buffalo,NY,45,calm,fair,55,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,13,0,3,4,BUF,KCY,KCY49,pass,0,0,122 Strong Pass XZYAT 532S1 Normal,122,Strong,Normal,3or4-4-5,43 Over,Regular Personnel,Tampa-2,No Blitz,Double,None,3long,,,,None,None,False,,,7,532S1,XZYAT,5,3,0,2053,Week 10,Buffalo,NY,45,calm,fair,49,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1Q,12,2,1,1,10,KCY,BUF,KCY20,run,0,0,113 Weak Run 23 Normal,113,Weak,Normal,1-10poss,34 Eagle,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DT Brock McGee,,,None,None,False,2,3,9,,,,,0,2053,Week 10,Buffalo,NY,45,calm,fair,80,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,28,1,2,10,KCY,BUF,KCY20,pass,4,3,113t Weak Pass XYZAR S22S5 Normal,113t,Weak,Normal,1or2-10-12,34 Eagle,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,DE Bobby Suggs,S Louie Rigney,WLB Q.Stevens,None,None,False,,,10,S22S5,XYZAR,S,2,0,2053,Week 10,Buffalo,NY,45,calm,fair,80,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,50,1,3,6,KCY,BUF,KCY24,pass,20,11,221 Weak Pass TYZB 241S Normal,221,Weak,Normal,3or4-6-7,34 Eagle,Regular Personnel,Cover-3 Sky,Blitz 1,None,None,3long,S Louie Rigney,,SILB C.Rivera,None,None,False,,,11,241S,TYZB,2,4,0,2053,Week 10,Buffalo,NY,45,calm,fair,76,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,10,18,1,1,10,KCY,BUF,KCY44,run,-2,0,104 Pro Run 25 Normal,104,Pro,Normal,1-10earn,34 Eagle,Dime Personnel,Cover-2,No Blitz,None,None,Normal,CB Cary Vega,DT Brock McGee,,None,None,False,2,5,12,,,,,0,2053,Week 10,Buffalo,NY,45,calm,fair,56,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,9,51,1,2,12,KCY,BUF,KCY42,pass,5,0,113t Weak Pass XZYR 1814 Shotgun,113t,Weak,Shotgun,1or2-10-12,34 Eagle,Nickel Personnel,Cover-3 Sky,Blitz 1,None,None,Normal,S Johnny Glenn,,WLB Q.Stevens,None,None,False,,,13,1814,XZYR,1,8,0,2053,Week 10,Buffalo,NY,45,calm,fair,58,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,27,1,3,7,KCY,BUF,KCY47,pass,10,2,203 Pro Pass RXZA 242F Pistol,203,Pro,Pistol,3or4-6-7,34 Eagle,Nickel Personnel,Cover-3 Cloud,No Blitz,None,None,3long,DT Brock McGee,,,None,None,False,,,14,242F,RXZA,2,4,0,2053,Week 10,Buffalo,NY,45,calm,fair,53,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,8,57,1,1,10,KCY,BUF,BUF43,run,3,0,113 Strong Run 20 Normal,113,Strong,Normal,1-10earn,34 Eagle,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DE Scott Harvey,DT Brock McGee,,None,None,False,2,0,15,,,,,0,2053,Week 10,Buffalo,NY,45,calm,fair,43,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,8,22,1,2,7,KCY,BUF,BUF40,run,10,0,212 Pro Run 27 Shotgun,212,Pro,Shotgun,1or2-6-9,34 Eagle,Regular Personnel,Cover-1,No Blitz,None,Spy,Normal,CB Walt McGregor,DE Kent Baker,,None,None,False,2,7,16,,,,,0,2053,Week 10,Buffalo,NY,45,calm,fair,40,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,7,42,1,1,10,KCY,BUF,BUF30,run,3,0,113 Strong Run 27 Shotgun,113,Strong,Shotgun,1-10earn,34 Eagle,Nickel Personnel,Cover-2,No Blitz,None,Spy,Normal,ILB Clyde Rivera,,,None,None,False,2,7,17,,,,,0,2053,Week 10,Buffalo,NY,45,calm,fair,30,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,7,3,1,2,7,KCY,BUF,BUF27,run,12,0,221 Weak Run 27 Normal,221,Weak,Normal,1or2-6-9,34 Eagle,Regular Personnel,"Man to Man, Buzz",No Blitz,None,None,Normal,OLB Corbin Whalen,,,None,None,False,2,7,18,,,,,0,2053,Week 10,Buffalo,NY,45,calm,fair,27,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,6,23,1,1,10,KCY,BUF,BUF15,run,12,0,212 Pro Run 26 Normal,212,Pro,Normal,1-10earn,34 Eagle,Regular Personnel,Cover-2,No Blitz,None,None,Normal,OLB Corbin Whalen,DE Scott Harvey,,None,None,False,2,6,19,,,,,0,2053,Week 10,Buffalo,NY,45,calm,fair,15,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,5,56,1,1,3,KCY,BUF,BUF03,pass,-1,0,113t Pro Pass RZXYA S0D6S Normal,113t,Pro,Normal,1or2opp6,34 Eagle,Regular Personnel,Cover-2,No Blitz,None,None,Normal,CB Dominique McGregor,,,None,None,False,,,20,S0D6S,RZXYA,S,0,0,2053,Week 10,Buffalo,NY,45,calm,fair,3,OPP6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
1Q,5,33,1,2,4,KCY,BUF,BUF04,run,0,0,113t I Run 25 Normal,113t,I,Normal,1or2opp6,34 Eagle,Regular Personnel,Cover-2,No Blitz,None,Spy,Normal,DT Dave Cryer,OLB Corbin Whalen,,None,None,False,2,5,21,,,,,0,2053,Week 10,Buffalo,NY,45,calm,fair,4,OPP6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,5,1,1,3,4,KCY,BUF,BUF04,pass,0,0,113t Weak Pass XAZR 10FS Shotgun,113t,Weak,Shotgun,3or4-4-5,34 Eagle,Nickel Personnel,Cover-3 Sky,Blitz 1,None,None,3long,,,WLB C.Whalen,None,None,False,,,22,10FS,XAZR,1,0,0,2053,Week 10,Buffalo,NY,45,calm,fair,4,OPP6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1Q,4,50,2,1,10,BUF,KCY,BUF25,run,3,0,122 Strong Run 24 Normal,122,Strong,Normal,1-10poss,43 Over,Regular Personnel,Press-1,No Blitz,None,None,Normal,ILB Lonnie Levels,,,None,None,False,2,4,25,,,,,0,2053,Week 10,Buffalo,NY,45,calm,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,4,18,2,2,7,BUF,KCY,BUF28,pass,13,0,113t Weak Pass YRXZA 4983F Normal,113t,Weak,Normal,1or2-6-9,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,CB Dennis Steil,,,None,None,False,,,26,4983F,YRXZA,4,9,0,2053,Week 10,Buffalo,NY,45,calm,fair,72,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
