quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,14,41,0,1,10,LAR,KCY,LAR36,run,15,0,122 I Run 21 Normal,122,I,Normal,1-10poss,43 Over,Regular Personnel,"Cover-1, Buzz",No Blitz,None,None,Normal,S Ron Foster,,,None,None,False,2,1,1,,,,,0,2054,Week 2,Kansas City,MO,72,13 ,fair,64,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,56,0,1,10,LAR,KCY,KCY49,pass,11,0,212 Pro Pass ZXYA 28FF Normal,212,Pro,Normal,1-10earn,43 Over,Regular Personnel,"Cover-1, Buzz",Blitz 1,None,None,Normal,CB Elias Jackson,,MLB L.Levels,None,None,False,,,2,28FF,ZXYA,2,8,0,2054,Week 2,Kansas City,MO,72,13 ,fair,49,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,13,12,0,1,10,LAR,KCY,KCY38,run,2,0,203 Strong Run 23 Normal,203,Strong,Normal,1-10earn,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,ILB Lonnie Levels,DE Graham Rhodes,,None,None,False,2,3,3,,,,,0,2054,Week 2,Kansas City,MO,72,13 ,fair,38,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,43,0,2,8,LAR,KCY,KCY36,run,10,0,122 Weak Run 22 Normal,122,Weak,Normal,1or2-6-9,43 Over,Regular Personnel,Press-1,No Blitz,None,None,Normal,ILB Lonnie Levels,,,None,None,False,2,2,4,,,,,0,2054,Week 2,Kansas City,MO,72,13 ,fair,36,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,21,0,1,10,LAR,KCY,KCY26,run,3,0,122 Pro Run 23 Normal,122,Pro,Normal,1-10earn,43 Over,Regular Personnel,"Cover-1, Buzz",No Blitz,None,None,Normal,DT Fernando Nance,S Ron Foster,,None,None,False,2,3,5,,,,,0,2054,Week 2,Kansas City,MO,72,13 ,fair,26,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,59,0,2,7,LAR,KCY,KCY23,pass,0,0,113 Pro Pass ZXYR 678W Normal,113,Pro,Normal,1or2-6-9,43 Over,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,,,MLB L.Levels,None,None,False,,,6,678W,ZXYR,6,7,0,2054,Week 2,Kansas City,MO,72,13 ,fair,23,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1Q,11,51,0,3,7,LAR,KCY,KCY23,pass,3,0,014 Empty Pass XYZRS 2SW12 Normal,014,Empty,Normal,3or4-6-7,43 Over,Dime Personnel,Tampa-2,No Blitz,None,None,3long,CB Elias Jackson,CB Louis Fulcher,,None,None,False,,,7,2SW12,XYZRS,2,S,0,2054,Week 2,Kansas City,MO,72,13 ,fair,23,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,11,2,1,1,10,KCY,LAR,KCY27,run,5,0,113 I Run 21 Normal,113,I,Normal,1-10poss,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,S Butch Hefner,DE Kris Clemons,,None,None,False,2,1,9,,,,,0,2054,Week 2,Kansas City,MO,72,13 ,fair,73,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,29,1,2,5,KCY,LAR,KCY32,run,45,0,113t Pro Run 25 Normal,113t,Pro,Normal,1or2-3-5,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DE Tanner Briggs,,,None,None,False,2,5,10,,,,,0,2054,Week 2,Kansas City,MO,72,13 ,fair,68,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,9,45,1,1,10,KCY,LAR,LAR23,run,7,0,131 Pro Cntr. 25 Normal,131,Pro,Normal,1-10earn,True 34,Regular Personnel,"Press-1, Buzz",No Blitz,None,None,Normal,ILB Joseph Mounts,,,None,None,False,2,5,11,,,,,0,2054,Week 2,Kansas City,MO,72,13 ,fair,23,NORMAL,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
