quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,15,0,0,1,10,WAS,KCY,WAS25,run,-3,0,005 Shotgun Run 10 Normal,005,Shotgun,Normal,1-10poss,43 Over,Dime Personnel,Cover-2,No Blitz,None,None,Normal,ILB Brayden Turnbull,CB Riley Everett,,None,None,False,1,0,1,,,,,0,2057,Week 16,Kansas City,MO,27,2 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,14,27,0,2,13,WAS,KCY,WAS22,run,-4,0,113t Strong Run 26 Normal,113t,Strong,Normal,1or2-13+,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,OLB Owen Smetana,,,None,None,False,2,6,2,,,,,0,2057,Week 16,Kansas City,MO,27,2 ,fair,78,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,14,3,0,3,17,WAS,KCY,WAS18,pass,0,0,113t Pro Pass XRYZA W0WWS Normal,113t,Pro,Normal,3or4-17+,43 Over,Nickel Personnel,Tampa-2,No Blitz,None,None,3long,,,, T Silas Castillo,Offensive Holding,False,,,3,W0WWS,XRYZA,W,0,0,2057,Week 16,Kansas City,MO,27,2 ,fair,82,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1Q,13,45,1,1,10,KCY,WAS,KCY30,reverse,8,0,005 Empty Rev. rev0 Normal,005,Empty,Normal,1-10poss,34 Eagle,Dime Personnel,Press-1,No Blitz,None,None,Normal,DE Justin Ferrari,,,None,None,False,rev,0,5,,,,,0,2057,Week 16,Kansas City,MO,27,2 ,fair,70,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,20,1,2,2,KCY,WAS,KCY38,pass,0,0,113 Strong Pass ZRX 81W Normal,113,Strong,Normal,1or2-1-2,34 Eagle,Nickel Personnel,Press-1,Blitz 1,None,None,Normal,,,LCB P.Douglas,None,None,False,,,6,81W,ZRX,8,1,0,2057,Week 16,Kansas City,MO,27,2 ,fair,62,NORMAL,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
1Q,13,10,1,3,2,KCY,WAS,KCY38,run,-3,0,122 I Run 21 Normal,122,I,Normal,3or4-2,34 Eagle,Regular Personnel,Press-1,No Blitz,None,None,3short,ILB Levi Zaragoza,,,None,None,False,2,1,7,,,,,0,2057,Week 16,Kansas City,MO,27,2 ,fair,62,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,12,31,2,1,10,WAS,KCY,WAS26,run,2,0,113 I Run 23 Normal,113,I,Normal,1-10poss,43 Over,Nickel Personnel,"Man to Man, Buzz",No Blitz,None,None,Normal,DE Carter Fairchild,,,None,None,False,2,3,9,,,,,0,2057,Week 16,Kansas City,MO,27,2 ,fair,74,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,53,2,2,8,WAS,KCY,WAS28,run,0,0,113t Pro Run 22 Normal,113t,Pro,Normal,1or2-6-9,43 Over,Nickel Personnel,"Press-1, Buzz",No Blitz,None,None,Normal,ILB Brayden Foster,,,None,None,False,2,2,10,,,,,0,2057,Week 16,Kansas City,MO,27,2 ,fair,72,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,21,2,3,8,WAS,KCY,WAS28,pass,11,11,131 Weak Pass ZUTY 2S21 Shotgun,131,Weak,Shotgun,3or4-8-9,43 Over,Regular Personnel,Cover-4,No Blitz,None,None,3long,S R,,,None,None,False,,,11,2S21,ZUTY,2,S,0,2057,Week 16,Kansas City,MO,27,2 ,fair,72,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,55,2,1,10,WAS,KCY,WAS39,pass,0,0,113 Strong Pass ZYXAR 20SW0 Shotgun,113,Strong,Shotgun,1-10earn,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,Fred Nedney,,,None,None,False,,,12,20SW0,ZYXAR,2,0,0,2057,Week 16,Kansas City,MO,27,2 ,fair,61,NORMAL,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,45,2,1,10,KCY,WAS,WAS42,run,4,0,113t I Run 25 Normal,113t,I,Normal,1-10poss,34 Eagle,Nickel Personnel,Press-1,No Blitz,None,None,Normal,ILB Monty Watson,,,None,None,False,2,5,13,,,,,0,2057,Week 16,Kansas City,MO,27,2 ,fair,42,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,16,2,2,6,KCY,WAS,WAS38,run,34,0,113t I Run 26 Normal,113t,I,Normal,1or2-6-9,34 Eagle,Nickel Personnel,Press-1,No Blitz,None,None,Normal,CB Gage Newton,,,None,None,False,2,6,14,,,,,0,2057,Week 16,Kansas City,MO,27,2 ,fair,38,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,9,39,2,1,4,KCY,WAS,WAS04,pass,3,0,131 Weak Pass UTZ 1FW Pistol,131,Weak,Pistol,1or2opp6,34 Eagle,Regular Personnel,Press-2,Blitz 1,Double,None,Normal,ILB Levi Zaragoza,,RCB R.Morrison,None,None,False,,,15,1FW,UTZ,1,F,0,2057,Week 16,Kansas City,MO,27,2 ,fair,4,OPP6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,5,2,2,1,KCY,WAS,WAS01,pass,0,0,221 Weak Pass TYZB 141S Normal,221,Weak,Normal,1or2opp6,34 Eagle,Goal Line Personnel,"Man to Man, Buzz",No Blitz,None,None,Normal,,,,None,None,False,,,16,141S,TYZB,1,4,0,2057,Week 16,Kansas City,MO,27,2 ,fair,1,OPP6,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
1Q,8,59,2,3,1,KCY,WAS,WAS01,run,1,0,212 Strong Run 25 Normal,212,Strong,Normal,3or4-1,34 Eagle,Goal Line Personnel,"Man to Man, Buzz",No Blitz,None,None,3short,,,,None,None,False,2,5,17,,,,,0,2057,Week 16,Kansas City,MO,27,2 ,fair,1,OPP6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1Q,8,20,3,1,10,WAS,KCY,WAS21,run,6,0,113 I Run 26 Normal,113,I,Normal,1-10poss,43 Over,Nickel Personnel,"Press-1, Buzz",No Blitz,None,None,Normal,S Erik Hoekstra,DT Pasta Talley,,None,None,False,2,6,20,,,,,0,2057,Week 16,Kansas City,MO,27,2 ,fair,79,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,7,54,3,2,4,WAS,KCY,WAS27,run,1,0,113 Weak Run 27 Normal,113,Weak,Normal,1or2-3-5,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DE Carter Fairchild,,,None,None,False,2,7,21,,,,,0,2057,Week 16,Kansas City,MO,27,2 ,fair,73,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,7,24,3,3,3,WAS,KCY,WAS28,run,5,0,113t Weak Run 24 Shotgun,113t,Weak,Shotgun,3or4-3,43 Over,Nickel Personnel,Tampa-2,No Blitz,None,None,3long,S Erik Hoekstra,,,None,None,False,2,4,22,,,,,0,2057,Week 16,Kansas City,MO,27,2 ,fair,72,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
