,quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
25,1Q,3,55,2,1,10,HOU,DAL,DAL33,pass,0,0,023 Shotgun Pass XRZT 5435 Normal,023,Shotgun,Normal,1-10earn,43 Over,Nickel Personnel,Press-2,No Blitz,None,None,Normal,,,,None,None,False,,,29,5435,XRZT,5,4,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,33,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
26,1Q,3,47,2,2,10,HOU,DAL,DAL33,pass,11,1,212 Pro Pass YAXZ WFF9 Pistol,212,Pro,Pistol,1or2-10-12,43 Over,Regular Personnel,Press-2,No Blitz,None,None,Normal,OLB Pete Savickas,,,None,None,False,,,30,WFF9,YAXZ,W,F,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,33,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
27,1Q,3,5,2,1,10,HOU,DAL,DAL22,pass,9,12,113 Pro Pass ARXYZ S5158 Normal,113,Pro,Normal,1-10earn,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,CB Giovanni Rodriguez,,,None,None,False,,,31,S5158,ARXYZ,S,5,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,22,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
28,1Q,2,19,2,2,1,HOU,DAL,DAL13,pass,12,2,212 Pro Pass XAZ 3F1 Shotgun,212,Pro,Shotgun,1or2-1-2,43 Over,Regular Personnel,Press-2,No Blitz,None,None,Normal,OLB Ezekiel Ringo,,,None,None,False,,,32,3F1,XAZ,3,F,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,13,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
29,1Q,1,34,2,1,1,HOU,DAL,DAL01,run,-1,0,113t I Run 22 Normal,113t,I,Normal,1or2opp6,43 Over,Goal Line Personnel,"Man to Man, Buzz",No Blitz,None,None,Normal,S Vince Shaw,,,None,None,False,2,2,33,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,1,OPP6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30,1Q,1,1,2,2,2,HOU,DAL,DAL02,pass,2,0,221 Pro Pass ABTYZ S1914 Normal,221,Pro,Normal,1or2opp6,43 Over,Regular Personnel,Press-2,No Blitz,None,None,Normal,,,,None,None,False,,,34,S1914,ABTYZ,S,1,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,2,OPP6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
31,1Q,0,16,3,1,10,DAL,HOU,DAL14,pass,5,0,212 Strong Pass XYZA 2512 Normal,212,Strong,Normal,1-10poss,43 Under,Regular Personnel,Cover-2,Blitz 1,None,None,Normal,OLB Emmanuel Barton,,RCB E.Strong,None,None,False,,,37,2512,XYZA,2,5,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,86,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
32,2Q,15,0,3,2,5,DAL,HOU,DAL19,run,5,0,122 Weak Run 20 Normal,122,Weak,Normal,1or2-3-5,43 Under,Regular Personnel,Press-2,No Blitz,None,None,Normal,DT Monty Rounds,S Wesley O'Neill,,None,None,False,2,0,39,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,81,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,2Q,14,18,3,1,10,DAL,HOU,DAL24,run,-4,0,113 Pro Run 26 Normal,113,Pro,Normal,1-10earn,43 Under,Nickel Personnel,"Cover-1, Buzz",No Blitz,None,None,Normal,DT Les Seaman,S Billy Barnes,,None,None,False,2,6,40,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,76,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34,2Q,13,35,3,2,14,DAL,HOU,DAL20,run,2,0,113 I Run 23 Normal,113,I,Normal,1or2-13+,43 Under,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DE Gregory Hartman,,, WR Hunter Torres,an Illegal Formation,False,2,3,41,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,80,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,2Q,13,25,3,3,12,DAL,HOU,DAL22,pass,0,0,113 Strong Pass ZXYAR SF024 Pistol,113,Strong,Pistol,3or4-10-12,43 Under,Nickel Personnel,Cover-4,No Blitz,None,None,3long,,,,None,None,False,,,42,SF024,ZXYAR,S,F,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,78,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
36,2Q,13,7,4,1,10,HOU,DAL,HOU44,pass,0,0,113 Weak Pass ZRXYA 46620 Pistol,113,Weak,Pistol,1-10poss,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,,,,None,None,False,,,44,46620,ZRXYA,4,6,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,56,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
37,2Q,13,0,4,2,10,HOU,DAL,HOU44,run,0,0,113t Strong Run 21 Normal,113t,Strong,Normal,1or2-10-12,43 Over,Nickel Personnel,Press-2,No Blitz,None,None,Normal,S Reginald Fordham,ILB Hayden Richmond,,None,None,False,2,1,45,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,56,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,2Q,12,30,4,3,10,HOU,DAL,HOU44,pass,0,0,113 I Pass XAYZR D13S1 Normal,113,I,Normal,3or4-10-12,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,3long,,,,None,None,False,,,46,D13S1,XAYZR,D,1,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,56,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
