quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,14,23,0,1,10,PIT,NYJ,PIT33,pass,7,0,212 Pro Pass ZAXYB 2150F Shotgun,212,Pro,Shotgun,1-10poss,34 Eagle,Regular Personnel,Cover-2,No Blitz,Double,None,Normal,ILB Darien Rodgers,,,None,None,False,,,1,2150F,ZAXYB,2,1,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,67,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,13,48,0,2,3,PIT,NYJ,PIT40,pass,11,0,113 Strong Pass XYZR 4462 Shotgun,113,Strong,Shotgun,1or2-3-5,34 Eagle,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,OLB Roderick Byrne,S Oliver Houari,,None,None,False,,,2,4462,XYZR,4,4,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,60,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,13,18,0,1,10,PIT,NYJ,NYJ49,pass,11,0,122 Weak Pass ZAXYT F2W83 Shotgun,122,Weak,Shotgun,1-10earn,34 Eagle,Regular Personnel,Cover-3 Cloud,No Blitz,None,None,Normal,CB Erick Banks,,,None,None,False,,,3,F2W83,ZAXYT,F,2,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,49,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,12,37,0,1,10,PIT,NYJ,NYJ38,pass,3,0,122 Pro Pass ZTXA 25SS Normal,122,Pro,Normal,1-10earn,34 Eagle,Regular Personnel,Press-1,No Blitz,None,None,Normal,CB Kirk Shields,,,None,None,False,,,4,25SS,ZTXA,2,5,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,38,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,11,58,0,2,7,PIT,NYJ,NYJ35,pass,0,0,113 Weak Pass RYXZA 514F0 Normal,113,Weak,Normal,1or2-6-9,34 Eagle,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,,,SILB D.Rodgers,None,None,False,,,5,514F0,RYXZA,5,1,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,35,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1Q,11,49,0,3,7,PIT,NYJ,NYJ35,run,-4,0,113 Weak Run 27 Shotgun,113,Weak,Shotgun,3or4-6-7,34 Eagle,Nickel Personnel,Cover-3 Sky,No Blitz,None,None,3long,OLB Roderick Byrne,OLB Lance Simons,,None,None,False,2,7,6,,,,,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,35,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,11,11,1,1,10,NYJ,PIT,NYJ20,pass,22,22,023 Empty Pass RXZ S44 Normal,023,Empty,Normal,1-10poss,43 Under,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,CB Luis Harvey,,MLB L.Nails, WR Claude Roush,Illegal Motion,False,,,8,S44,RXZ,S,4,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,80,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,58,1,1,15,NYJ,PIT,NYJ15,pass,2,0,221 Pro Pass YBZ 411 Shotgun,221,Pro,Shotgun,1or2-13+,43 Under,Regular Personnel,Cover-1,Blitz 1,None,None,Normal,S Kris Rogers,,MLB T.Erickson,None,None,False,,,9,411,YBZ,4,1,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,85,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,14,1,2,13,NYJ,PIT,NYJ17,pass,17,0,104 Weak Pass RXZAS 70SSF Normal,104,Weak,Normal,1or2-13+,43 Under,Dime Personnel,Tampa-2,Blitz 1,None,None,Normal,ILB Tony Erickson,,LCB L.Denham,None,None,False,,,10,70SSF,RXZAS,7,0,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,83,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,47,1,1,10,NYJ,PIT,NYJ34,pass,25,22,212 Pro Pass XAYZ FF27 Shotgun,212,Pro,Shotgun,1-10earn,43 Under,Regular Personnel,Press-2,No Blitz,None,None,Normal,OLB Shannon O'Neill,,,None,None,False,,,11,FF27,XAYZ,F,F,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,66,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,15,1,1,10,NYJ,PIT,PIT41,pass,19,0,113 Weak Pass ZXYAR S8SS1 Shotgun,113,Weak,Shotgun,1-10earn,43 Under,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,S Kris Rogers,CB Hot Sauce Farrell,MLB L.Nails,None,None,False,,,12,S8SS1,ZXYAR,S,8,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,41,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,8,41,1,1,10,NYJ,PIT,PIT22,run,2,0,122 Strong Run 25 Normal,122,Strong,Normal,1-10earn,43 Under,Regular Personnel,Cover-3 Sky,No Blitz,None,None,Normal,ILB Tony Erickson,,,None,None,False,2,5,13,,,,,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,22,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,8,1,1,2,8,NYJ,PIT,PIT20,pass,17,3,113 Weak Pass RXYZA 5030W Normal,113,Weak,Normal,1or2-6-9,43 Under,Nickel Personnel,Cover-2,No Blitz,Double,None,Normal,S Kris Rogers,,,None,None,False,,,14,5030W,RXYZA,5,0,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,20,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,7,20,1,1,3,NYJ,PIT,PIT03,pass,0,0,212 Pro Pass XAYZ FF27 Shotgun,212,Pro,Shotgun,1or2opp6,43 Under,Regular Personnel,Press-2,No Blitz,Double,None,Normal,,,,None,None,False,,,15,FF27,XAYZ,F,F,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,3,OPP6,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1Q,7,13,1,2,3,NYJ,PIT,PIT03,pass,2,0,122 I Pass ZTXYA W440F Normal,122,I,Normal,1or2opp6,43 Under,Regular Personnel,Press-2,No Blitz,Double,None,Normal,OLB Shannon O'Neill,,,None,None,False,,,16,W440F,ZTXYA,W,4,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,3,OPP6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,6,38,1,3,1,NYJ,PIT,PIT01,pass,1,0,113t I Pass XYZAR 21F20 Normal,113t,I,Normal,3or4-1,43 Under,Goal Line Personnel,"Man to Man, Buzz",No Blitz,None,None,3short,,,,None,None,False,,,17,21F20,XYZAR,2,1,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,1,OPP6,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
1Q,6,29,2,1,10,PIT,NYJ,PIT25,run,6,0,113 Strong Run 26 Normal,113,Strong,Normal,1-10poss,34 Eagle,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,ILB Darien Rodgers,,,None,None,False,2,6,20,,,,,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,5,55,2,2,4,PIT,NYJ,PIT31,run,6,0,113 Strong Run 26 Normal,113,Strong,Normal,1or2-3-5,34 Eagle,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,ILB Darien Rodgers,,,None,None,False,2,6,21,,,,,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,69,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,5,15,2,1,10,PIT,NYJ,PIT37,run,11,0,113t Weak Run 26 Shotgun,113t,Weak,Shotgun,1-10earn,34 Eagle,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,ILB Darien Rodgers,,,None,None,False,2,6,22,,,,,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,63,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,4,39,2,1,10,PIT,NYJ,PIT48,reverse,3,0,113 Pro Rev. rev7 Normal,113,Pro,Normal,1-10earn,34 Eagle,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,ILB Darien Rodgers,OLB Efrain Dunlap,,None,None,False,rev,7,23,,,,,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,52,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,3,47,2,2,2,PIT,NYJ,NYJ44,pass,35,7,113t Pro Pass XAYZR 901S3 Normal,113t,Pro,Normal,1or2-1-2,34 Eagle,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,S Jamie Collier,,NB O.Houari,None,None,False,,,25,901S3,XAYZR,9,0,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,44,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,3,7,2,1,9,PIT,NYJ,NYJ09,run,1,0,113 Strong Run 26 Normal,113,Strong,Normal,1or2-6-9,34 Eagle,Nickel Personnel,"Man to Man, Buzz",No Blitz,None,None,Normal,ILB Darien Rodgers,,, G Tony Boyer,Offensive Holding,False,2,6,26,,,,,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,9,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,2,57,2,1,19,PIT,NYJ,NYJ19,run,9,0,113 I Run 12 Normal,113,I,Normal,1or2-13+,34 Eagle,Nickel Personnel,Press-1,No Blitz,None,None,Normal,S Jamie Collier,DE Vincent Finch,,None,None,False,1,2,27,,,,,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,19,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,2,33,2,2,10,PIT,NYJ,NYJ10,run,3,0,122 Weak Run 21 Shotgun,122,Weak,Shotgun,1or2-10-12,34 Eagle,Regular Personnel,Press-1,No Blitz,None,None,Normal,S Levon Winslett,OLB Ezekiel Malone,,None,None,False,2,1,28,,,,,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,10,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,2,3,2,3,7,PIT,NYJ,NYJ07,pass,7,0,212 Strong Pass ZXYAB WF0F3 Normal,212,Strong,Normal,3or4-6-7,34 Eagle,Regular Personnel,Cover-2,Blitz 1,None,None,3long,,,WLB K.Shields,None,None,False,,,29,WF0F3,ZXYAB,W,F,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,7,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1Q,1,24,3,1,10,NYJ,PIT,NYJ46,pass,5,0,122 I Pass TXZA 1SWF Normal,122,I,Normal,1-10poss,43 Under,Regular Personnel,Press-2,No Blitz,None,None,Normal,S Conrad Owens,OLB Shannon O'Neill,,None,None,False,,,32,1SWF,TXZA,1,S,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,54,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,0,43,3,2,5,NYJ,PIT,PIT49,pass,20,19,122 Weak Pass TXYZA F1662 Normal,122,Weak,Normal,1or2-3-5,43 Under,Regular Personnel,Press-2,No Blitz,None,None,Normal,OLB Theodore Barber,,,None,None,False,,,33,F1662,TXYZA,F,1,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,49,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2Q,15,0,3,1,10,NYJ,PIT,PIT29,pass,17,19,113t Strong Pass XRYZA 1S0S0 Normal,113t,Strong,Normal,1-10earn,43 Under,Nickel Personnel,Cover-2,No Blitz,Double,None,Normal,ILB Lamar Nails,,,None,None,False,,,35,1S0S0,XRYZA,1,S,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,29,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2Q,14,21,3,1,10,NYJ,PIT,PIT12,pass,0,0,131 Strong Pass YUTZA 4S2FW Normal,131,Strong,Normal,1-10earn,43 Under,Regular Personnel,Cover-1,Blitz 1,None,None,Normal,,,MLB T.Erickson, OLB Shannon O'Neill,Illegal Contact,False,,,36,4S2FW,YUTZA,4,S,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,12,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2Q,14,14,3,1,7,NYJ,PIT,PIT07,pass,7,0,113t Pro Pass RZXA 343S Normal,113t,Pro,Normal,1or2-6-9,43 Under,Nickel Personnel,"Man to Man, Buzz",No Blitz,Double,None,Normal,,,,None,None,False,,,37,343S,RZXA,3,4,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,7,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2Q,14,5,4,1,10,PIT,NYJ,PIT25,pass,23,0,113 I Pass XYZAR S8F12 Normal,113,I,Normal,1-10poss,34 Eagle,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,S Oliver Houari,,WLB R.Byrne,None,None,False,,,40,S8F12,XYZAR,S,8,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2Q,13,27,4,1,10,PIT,NYJ,PIT48,pass,17,0,113 I Pass XYZAR S8F12 Normal,113,I,Normal,1-10earn,34 Eagle,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,CB Erick Banks,S Levon Winslett,NB O.Houari,None,None,False,,,41,S8F12,XYZAR,S,8,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,52,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2Q,12,52,4,1,10,PIT,NYJ,NYJ35,pass,0,0,113t Weak Pass XRYZA 3S4S1 Shotgun,113t,Weak,Shotgun,1-10earn,34 Eagle,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,,,,None,None,False,,,42,3S4S1,XRYZA,3,S,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,35,NORMAL,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
2Q,12,46,4,2,10,PIT,NYJ,NYJ35,pass,17,3,122 Strong Pass ZAXYT 4S0W6 Shotgun,122,Strong,Shotgun,1or2-10-12,34 Eagle,Regular Personnel,Cover-3 Cloud,No Blitz,None,None,Normal,S Levon Winslett,,,None,None,False,,,43,4S0W6,ZAXYT,4,S,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,35,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2Q,12,19,4,1,10,PIT,NYJ,NYJ18,pass,0,0,113 Strong Pass XYZR 4462 Shotgun,113,Strong,Shotgun,1-10earn,34 Eagle,Nickel Personnel,Press-1,No Blitz,None,None,Normal,,,,None,None,False,,,44,4462,XYZR,4,4,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,18,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2Q,12,10,4,2,10,PIT,NYJ,NYJ18,pass,0,0,113 Weak Pass RYXZA 514F0 Normal,113,Weak,Normal,1or2-10-12,34 Eagle,Nickel Personnel,"Man to Man, Buzz",Blitz 1,Double,None,Normal,,,NB O.Houari,None,None,False,,,45,514F0,RYXZA,5,1,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,18,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2Q,12,0,4,3,10,PIT,NYJ,NYJ18,scramble,11,0,212 Pro Pass XYZA 402S Shotgun,212,Pro,Shotgun,3or4-10-12,34 Eagle,Regular Personnel,Cover-2,Blitz 1,None,None,3long,CB Erick Banks,OLB Slime Simons,WLB A.Reno,None,None,False,,,46,402S,XYZA,4,0,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,18,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2Q,11,23,4,1,7,PIT,NYJ,NYJ07,scramble,7,0,113 Weak Pass XRYZA 3F4S3 Shotgun,113,Weak,Shotgun,1or2-6-9,34 Eagle,Nickel Personnel,Press-1,No Blitz,None,None,Normal,,,,None,None,False,,,47,3F4S3,XRYZA,3,F,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,7,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2Q,10,43,5,1,10,NYJ,PIT,NYJ36,pass,27,23,212 Pro Pass XAYZ FF27 Shotgun,212,Pro,Shotgun,1-10poss,43 Under,Regular Personnel,Press-2,No Blitz,None,None,Normal,ILB Tony Erickson,,,None,None,False,,,50,FF27,XAYZ,F,F,0,2053,Week 13,Pittsburgh,PA,40,5 ,fair,64,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
