quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,15,0,0,1,10,BAL,CIN,BAL25,run,11,0,113 Weak Run 26 Normal,113,Weak,Normal,1-10poss,43 Under,Nickel Personnel,Press-1,No Blitz,None,None,Normal,ILB Nicholas Gaylor,DT Dakota Campos,,None,None,False,2,6,1,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,14,16,0,1,10,BAL,CIN,BAL36,pass,7,2,113 I Pass ARXYZ 1S016 Normal,113,I,Normal,1-10earn,43 Under,Nickel Personnel,Press-1,Blitz 1,Double,None,Normal,DE Juicy J Fransson,,WLB D.Parrish,None,None,False,,,2,1S016,ARXYZ,1,S,0,2057,Week 1,Cincinnati,OH,59,calm,fair,64,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,13,46,0,2,3,BAL,CIN,BAL43,pass,23,12,113 Strong Pass RXYZA 453WW Normal,113,Strong,Normal,1or2-3-5,43 Under,Nickel Personnel,Press-2,No Blitz,None,None,Normal,CB Gene Schokora,,,None,None,False,,,3,453WW,RXYZA,4,5,0,2057,Week 1,Cincinnati,OH,59,calm,fair,57,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,13,0,0,1,10,BAL,CIN,CIN34,run,8,0,131 Pro Run 21 Normal,131,Pro,Normal,1-10earn,43 Under,Regular Personnel,Man to Man,No Blitz,None,None,Normal,S Giovanni Palepoi,,,None,None,False,2,1,4,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,34,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,28,0,2,2,BAL,CIN,CIN26,reverse,5,0,113 Strong Rev. rev7 Normal,113,Strong,Normal,1or2-1-2,43 Under,Nickel Personnel,Press-2,No Blitz,None,Spy,Normal,DT Dakota Campos,,,None,None,False,rev,7,5,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,26,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,54,0,1,10,BAL,CIN,CIN21,run,13,0,113t Strong Run 25 Normal,113t,Strong,Normal,1-10earn,43 Under,Nickel Personnel,Press-1,No Blitz,None,None,Normal,ILB Nicholas Gaylor,S Levi Hopper,,None,None,False,2,5,6,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,21,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,18,0,1,8,BAL,CIN,CIN08,run,-1,0,113 Pro Run 25 Normal,113,Pro,Normal,1or2-6-9,43 Under,Nickel Personnel,"Press-1, Buzz",No Blitz,None,None,Normal,CB The Tooth Whiting,,,None,None,False,2,5,7,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,8,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,10,41,0,2,9,BAL,CIN,CIN09,pass,9,0,113 I Pass ARXYZ 1S016 Normal,113,I,Normal,1or2-6-9,43 Under,Nickel Personnel,Press-2,No Blitz,None,None,Normal,,,,None,None,False,,,8,1S016,ARXYZ,1,S,0,2057,Week 1,Cincinnati,OH,59,calm,fair,9,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1Q,10,6,1,1,10,CIN,BAL,CIN21,run,12,0,113 Strong Run 21 Normal,113,Strong,Normal,1-10poss,True 34,Nickel Personnel,Cover-4,No Blitz,None,None,Normal,CB Gage Thompson,DE Mason Fisk,,None,None,False,2,1,11,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,79,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,9,36,1,1,10,CIN,BAL,CIN33,run,1,0,131 Strong Run 25 Shotgun,131,Strong,Shotgun,1-10earn,True 34,Regular Personnel,Cover-1,No Blitz,None,None,Normal,OLB Graham Braswell,,,None,None,False,2,5,12,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,67,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,8,58,1,2,9,CIN,BAL,CIN34,run,7,0,122 I Run 26 Normal,122,I,Normal,1or2-6-9,True 34,Regular Personnel,Cover-4,No Blitz,None,None,Normal,DT Mario Ellard,,,None,None,False,2,6,13,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,66,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,8,33,1,3,2,CIN,BAL,CIN41,pass,5,2,113 I Pass XZYAR 04DS3 Normal,113,I,Normal,3or4-2,True 34,Nickel Personnel,"Man to Man, Buzz",Blitz 1,Double,None,3short,OLB Devan Cole,,WLB S.Powell,None,None,False,,,14,04DS3,XZYAR,0,4,0,2057,Week 1,Cincinnati,OH,59,calm,fair,59,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,8,6,1,1,10,CIN,BAL,CIN46,pass,11,0,203 Pro Pass XRZAB 2D440 Shotgun,203,Pro,Shotgun,1-10earn,True 34,Nickel Personnel,"Cover-1, Buzz",Blitz 1,None,None,Normal,CB Gage Thompson,,RCB S.Maxwell, G Seth Cote,Offensive Holding,False,,,15,2D440,XRZAB,2,D,0,2057,Week 1,Cincinnati,OH,59,calm,fair,54,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,7,59,1,1,20,CIN,BAL,CIN36,pass,11,3,131 Strong Pass TYZA 4180 Shotgun,131,Strong,Shotgun,1or2-13+,True 34,Regular Personnel,Cover-1,Blitz 2,None,None,Normal,CB Wes Devries,,"['SILB B.Sargent', 'WLB G.Braswell']",None,None,False,,,16,4180,TYZA,4,1,0,2057,Week 1,Cincinnati,OH,59,calm,fair,64,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,7,13,1,2,9,CIN,BAL,CIN47,pass,21,11,113 I Pass ZRXYA 4S680 Normal,113,I,Normal,1or2-6-9,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,S Leroy Moland,,LCB G.Thompson,None,None,False,,,17,4S680,ZRXYA,4,S,0,2057,Week 1,Cincinnati,OH,59,calm,fair,53,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,6,44,1,1,10,CIN,BAL,BAL32,run,3,0,113t Pro Cntr. 22 Normal,113t,Pro,Normal,1-10earn,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DT Jumbo Norried,,,None,None,False,2,2,18,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,32,NORMAL,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1Q,6,13,1,2,7,CIN,BAL,BAL29,run,5,0,113 I Run 23 Normal,113,I,Normal,1or2-6-9,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DE Mason Fisk,,,None,None,False,2,3,19,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,29,NORMAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,6,2,1,1,10,BAL,CIN,BAL24,run,6,0,122 Weak Run 23 Pistol,122,Weak,Pistol,1-10poss,43 Under,Regular Personnel,Cover-2,No Blitz,None,Spy,Normal,ILB Nicholas Gaylor,,,None,None,False,2,3,20,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,76,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,5,22,1,2,4,BAL,CIN,BAL30,run,9,0,122 Weak Run 20 Pistol,122,Weak,Pistol,1or2-3-5,43 Under,Regular Personnel,Cover-2,No Blitz,None,None,Normal,DT Christopher Brown,,,None,None,False,2,0,21,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,70,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,4,51,1,1,10,BAL,CIN,BAL39,pass,0,0,014t Pistol Pass SRXYZ 28304 Normal,014t,Pistol,Normal,1-10earn,43 Under,Dime Personnel,Man to Man,No Blitz,None,None,Normal,,,,None,None,False,,,22,28304,SRXYZ,2,8,0,2057,Week 1,Cincinnati,OH,59,calm,fair,61,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1Q,4,44,1,2,10,BAL,CIN,BAL39,run,-4,0,113 Strong Run 23 Normal,113,Strong,Normal,1or2-10-12,43 Under,Nickel Personnel,Press-1,No Blitz,None,None,Normal,DT Denzel Harper,,,None,None,False,2,3,23,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,61,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,4,7,1,3,14,BAL,CIN,BAL35,pass,19,0,113t Pro Pass RZXA 7261 Normal,113t,Pro,Normal,3or4-13-16,43 Under,Nickel Personnel,Cover-3 Cloud,No Blitz,None,None,3long,S Robert Nixon,,,None,None,False,,,24,7261,RZXA,7,2,0,2057,Week 1,Cincinnati,OH,59,calm,fair,65,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,3,30,1,1,10,BAL,CIN,CIN46,pass,4,0,212 Pro Pass AZXY S774 Normal,212,Pro,Normal,1-10earn,43 Under,Regular Personnel,Cover-2,Blitz 1,None,None,Normal,OLB Quentin Stevens,S Robert Nixon,SLB D.Parrish,None,None,False,,,25,S774,AZXY,S,7,0,2057,Week 1,Cincinnati,OH,59,calm,fair,46,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,2,47,1,2,6,BAL,CIN,CIN42,pass,10,0,122 Strong Pass YXZAT 351W5 Shotgun,122,Strong,Shotgun,1or2-6-9,43 Under,Regular Personnel,Cover-2,Blitz 1,None,None,Normal,S Robert Nixon,,LCB G.Whiting,None,None,False,,,26,351W5,YXZAT,3,5,0,2057,Week 1,Cincinnati,OH,59,calm,fair,42,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,2,23,1,1,10,BAL,CIN,CIN32,pass,32,0,212 I Pass YXZAB S311S Normal,212,I,Normal,1-10earn,43 Under,Regular Personnel,Cover-2,Blitz 1,None,None,Normal,,,SLB D.Parrish,None,None,False,,,27,S311S,YXZAB,S,3,0,2057,Week 1,Cincinnati,OH,59,calm,fair,32,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1Q,1,39,2,1,10,CIN,BAL,CIN37,run,7,0,122 Weak Run 25 Shotgun,122,Weak,Shotgun,1-10poss,True 34,Regular Personnel,Press-2,No Blitz,None,None,Normal,DE Kelvin Fulton,,,None,None,False,2,5,30,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,63,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,1,2,2,2,3,CIN,BAL,CIN44,run,6,0,104 I Run 21 Normal,104,I,Normal,1or2-3-5,True 34,Dime Personnel,Press-2,No Blitz,None,None,Normal,CB Gage Thompson,,,None,None,False,2,1,31,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,56,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,0,32,2,1,10,CIN,BAL,CIN50,run,7,0,122 Strong Run 24 Shotgun,122,Strong,Shotgun,1-10earn,True 34,Regular Personnel,Cover-4,No Blitz,None,None,Normal,ILB Jermaine Sandilands,,, C Jason McDuffee,Offensive Holding,False,2,4,32,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,50,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,0,25,2,1,20,CIN,BAL,CIN40,pass,0,0,122 I Pass XAYZT DF63S Normal,122,I,Normal,1or2-13+,True 34,Regular Personnel,Cover-4,Blitz 1,None,None,Normal,,,WILB J.Sandilands,None,None,False,,,33,DF63S,XAYZT,D,F,0,2057,Week 1,Cincinnati,OH,59,calm,fair,60,NORMAL,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1Q,0,12,2,2,20,CIN,BAL,CIN40,run,5,0,113t Weak Run 23 Shotgun,113t,Weak,Shotgun,1or2-13+,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,OLB Shawn Powell,,,None,None,False,2,3,34,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,60,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2Q,15,0,2,3,15,CIN,BAL,CIN45,run,10,0,104 I Run 21 Normal,104,I,Normal,3or4-13-16,True 34,Dime Personnel,Cover-4,No Blitz,None,None,3long,S Marquis Rough,,,None,None,False,2,1,36,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,55,NORMAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2Q,14,10,3,1,10,BAL,CIN,BAL07,pass,0,0,113t Strong Pass RXYZ 0S23 Shotgun,113t,Strong,Shotgun,1-10poss,43 Under,Nickel Personnel,Press-1,Blitz 2,None,None,Normal,,,"['RCB G.Schokora', 'SS L.Hopper']", G Jack Gordon,Offensive Holding,False,,,38,0S23,RXYZ,0,S,0,2057,Week 1,Cincinnati,OH,59,calm,fair,93,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2Q,14,5,3,2,10,BAL,CIN,BAL07,pass,0,0,212 I Pass BXYZA F119S Normal,212,I,Normal,1or2-10-12,43 Under,Regular Personnel,Tampa-2,No Blitz,None,None,Normal,,,,None,None,False,,,39,F119S,BXYZA,F,1,0,2057,Week 1,Cincinnati,OH,59,calm,fair,93,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2Q,13,59,3,3,10,BAL,CIN,BAL07,pass,0,0,014 Pistol Pass RXYZS D535W Normal,014,Pistol,Normal,3or4-10-12,43 Under,Dime Personnel,Man to Man,No Blitz,None,None,3long,,,,None,None,False,,,40,D535W,RXYZS,D,5,0,2057,Week 1,Cincinnati,OH,59,calm,fair,93,NORMAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2Q,13,41,4,1,10,CIN,BAL,BAL36,run,1,0,113 Pro Run 26 Normal,113,Pro,Normal,1-10poss,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,ILB Brant Sargent,,,None,None,False,2,6,42,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,36,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2Q,13,13,4,2,9,CIN,BAL,BAL35,pass,0,0,122 Weak Pass TYXZA 2985F Normal,122,Weak,Normal,1or2-6-9,True 34,Regular Personnel,Press-2,Blitz 2,None,None,Normal,,,"['SILB B.Sargent', 'WLB G.Braswell']",None,None,False,,,43,2985F,TYXZA,2,9,0,2057,Week 1,Cincinnati,OH,59,calm,fair,35,NORMAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2Q,13,9,4,3,9,CIN,BAL,BAL35,pass,0,0,122 I Pass ZTXYA 83D14 Normal,122,I,Normal,3or4-8-9,True 34,Regular Personnel,Press-2,Blitz 1,None,None,3long,,,SILB J.Sandilands, CB Gage Thompson,Illegal Contact,False,,,44,83D14,ZTXYA,8,3,0,2057,Week 1,Cincinnati,OH,59,calm,fair,35,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
2Q,13,3,4,1,10,CIN,BAL,BAL30,pass,8,0,113 Weak Pass RZXYA 40D80 Normal,113,Weak,Normal,1-10earn,True 34,Nickel Personnel,Cover-2,Blitz 2,None,None,Normal,ILB Brant Sargent,,"['WLB D.Cole', 'RCB S.Maxwell']",None,None,False,,,45,40D80,RZXYA,4,0,0,2057,Week 1,Cincinnati,OH,59,calm,fair,30,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2Q,12,36,4,2,2,CIN,BAL,BAL22,run,5,0,131 Weak Run 27 Shotgun,131,Weak,Shotgun,1or2-1-2,True 34,Regular Personnel,Cover-1,No Blitz,None,None,Normal,CB Gage Thompson,ILB Jermaine Sandilands,,None,None,False,2,7,46,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,22,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2Q,11,51,4,1,10,CIN,BAL,BAL17,run,4,0,212 Pro Run 24 Shotgun,212,Pro,Shotgun,1-10earn,True 34,Regular Personnel,Cover-1,No Blitz,None,None,Normal,DE Kelvin Fulton,ILB Jermaine Sandilands,,None,None,False,2,4,47,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,17,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2Q,11,9,4,2,6,CIN,BAL,BAL13,run,3,0,122 Strong Run 20 Shotgun,122,Strong,Shotgun,1or2-6-9,True 34,Regular Personnel,"Man to Man, Buzz",No Blitz,None,None,Normal,DT Mario Ellard,,,None,None,False,2,0,48,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,13,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2Q,10,33,4,3,3,CIN,BAL,BAL10,run,5,0,131 Weak Run 27 Shotgun,131,Weak,Shotgun,3or4-3,True 34,Regular Personnel,Cover-1,No Blitz,None,None,3long,DE Kelvin Fulton,,,None,None,False,2,7,49,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,10,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2Q,10,3,4,1,5,CIN,BAL,BAL05,run,5,0,221 Pro Run 22 Shotgun,221,Pro,Shotgun,1or2opp6,True 34,Regular Personnel,"Man to Man, Buzz",No Blitz,None,None,Normal,,,,None,None,False,2,2,50,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,5,OPP6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2Q,9,24,5,1,10,BAL,CIN,BAL37,run,0,0,113t Weak Run 24 Normal,113t,Weak,Normal,1-10poss,43 Under,Nickel Personnel,Press-1,No Blitz,None,None,Normal,S Giovanni Palepoi,,,None,None,False,2,4,53,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,63,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2Q,9,0,5,2,10,BAL,CIN,BAL37,run,2,0,122 Strong Run 26 Pistol,122,Strong,Pistol,1or2-10-12,43 Under,Regular Personnel,Cover-2,No Blitz,None,None,Normal,DE Juicy J Fransson,,,None,None,False,2,6,54,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,63,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2Q,8,19,5,3,8,BAL,CIN,BAL39,pass,0,0,113 I Pass RAXZ 8S23 Normal,113,I,Normal,3or4-8-9,43 Under,Nickel Personnel,Cover-3 Cloud,No Blitz,None,None,3long,,,,None,None,False,,,55,8S23,RAXZ,8,S,0,2057,Week 1,Cincinnati,OH,59,calm,fair,61,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2Q,8,5,6,1,10,CIN,BAL,CIN04,run,-1,0,104 Strong Run 23 Pistol,104,Strong,Pistol,1or2own5,True 34,Dime Personnel,Press-2,No Blitz,None,None,Normal,CB Lenny Thomason,DE Kelvin Fulton,,None,None,False,2,3,57,,,,,0,2057,Week 1,Cincinnati,OH,59,calm,fair,96,OWN5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2Q,7,38,6,2,11,CIN,BAL,CIN03,pass,0,0,203 Pro Pass ARXZ 4F6D Shotgun,203,Pro,Shotgun,1or2own5,True 34,Nickel Personnel,"Cover-1, Buzz",Blitz 1,None,None,Normal,,,WLB D.Cole,None,None,False,,,58,4F6D,ARXZ,4,F,0,2057,Week 1,Cincinnati,OH,59,calm,fair,97,OWN5,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
2Q,7,31,6,3,11,CIN,BAL,CIN03,pass,0,0,122 I Pass ZTXYA 83D14 Normal,122,I,Normal,3or4-10-12,True 34,Regular Personnel,Press-2,Blitz 1,None,None,3long,,,SILB J.Sandilands,None,None,False,,,59,83D14,ZTXYA,8,3,0,2057,Week 1,Cincinnati,OH,59,calm,fair,97,OWN5,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
