,quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
0,1Q,14,20,0,1,10,TEN,PHI,TEN14,run,2,0,113 Weak Run 23 Shotgun,113,Weak,Shotgun,1-10poss,True 34,Nickel Personnel,Cover-3 Sky,No Blitz,None,None,Normal,S Tyrell Quarles,,,None,None,False,2,3,1,,,,,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,86,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1Q,13,51,0,2,8,TEN,PHI,TEN16,pass,5,0,113 Strong Pass XYZAR 90F37 Shotgun,113,Strong,Shotgun,1or2-6-9,True 34,Nickel Personnel,Cover-3 Sky,Blitz 1,None,None,Normal,OLB Leonardo Shaw,,SILB J.Gonser,None,None,False,,,2,90F37,XYZAR,9,0,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,84,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,1Q,13,20,0,3,3,TEN,PHI,TEN21,pass,2,0,113t Weak Pass XYZAR 0F2W2 Normal,113t,Weak,Normal,3or4-3,True 34,Nickel Personnel,Cover-3 Cloud,Blitz 1,None,None,3long,S Damian Jaco,,SILB J.Gonser,None,None,False,,,3,0F2W2,XYZAR,0,F,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,79,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3,1Q,12,45,1,1,10,PHI,TEN,PHI38,pass,1,1,113t Strong Pass ZRXYA SF332 Normal,113t,Strong,Normal,1-10poss,True 34,Nickel Personnel,Press-1,No Blitz,Double,None,Normal,OLB Gerald Randle,,,None,None,False,,,5,SF332,ZRXYA,S,F,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,62,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
4,1Q,12,15,1,2,9,PHI,TEN,PHI39,pass,0,0,014t Pistol Pass SRXYZ 90S22 Normal,014t,Pistol,Normal,1or2-6-9,True 34,Dime Personnel,Cover-2,Blitz 1,None,None,Normal,,,WLB P.Seidel,None,None,False,,,6,90S22,SRXYZ,9,0,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,61,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
5,1Q,12,7,1,3,9,PHI,TEN,PHI39,pass,-2,0,113t I Pass RYXZA S113S Normal,113t,I,Normal,3or4-8-9,True 34,Nickel Personnel,Cover-2,Blitz 2,None,None,3long,OLB Gerald Randle,,"['SILB W.Barton', 'WLB P.Seidel']",None,None,False,,,7,S113S,RYXZA,S,1,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,61,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,1Q,11,15,2,1,10,TEN,PHI,TEN18,run,47,0,113 Weak Run 21 Shotgun,113,Weak,Shotgun,1-10poss,True 34,Nickel Personnel,Cover-3 Sky,No Blitz,None,None,Normal,S Gus McDonald,,,None,None,False,2,1,9,,,,,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,82,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,1Q,10,42,2,1,10,TEN,PHI,PHI35,run,5,0,113 Weak Run 27 Shotgun,113,Weak,Shotgun,1-10earn,True 34,Nickel Personnel,Cover-3 Sky,No Blitz,None,None,Normal,DE Chuck Barker,OLB Sean Sanderson,,None,None,False,2,7,10,,,,,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,35,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,1Q,10,5,2,2,5,TEN,PHI,PHI30,pass,5,0,113t Strong Pass RXYZA 2F1S0 Normal,113t,Strong,Normal,1or2-3-5,True 34,Nickel Personnel,Cover-2,Blitz 2,None,None,Normal,OLB Sean Sanderson,,"['SILB J.Gonser', 'WLB L.Shaw']",None,None,False,,,11,2F1S0,RXYZA,2,F,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,30,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9,1Q,9,24,2,1,10,TEN,PHI,PHI25,scramble,5,0,113 Weak Pass XYZAR 6S1S1 Shotgun,113,Weak,Shotgun,1-10earn,True 34,Nickel Personnel,Cover-3 Sky,No Blitz,Double,None,Normal,ILB Jerome Gonser,,,None,None,False,,,12,6S1S1,XYZAR,6,S,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,25,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,1Q,8,47,2,2,5,TEN,PHI,PHI20,pass,0,0,113t Strong Pass ZAXYR 2F2W3 Shotgun,113t,Strong,Shotgun,1or2-3-5,True 34,Nickel Personnel,Cover-3 Sky,Blitz 1,None,None,Normal,,,WLB L.Shaw,None,None,False,,,13,2F2W3,ZAXYR,2,F,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,20,NORMAL,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
11,1Q,8,40,2,3,5,TEN,PHI,PHI20,pass,0,0,113t Weak Pass ZXYR 1412 Normal,113t,Weak,Normal,3or4-4-5,True 34,Nickel Personnel,Cover-3 Cloud,Blitz 1,None,None,3long,,,SILB J.Gonser,None,None,False,,,14,1412,ZXYR,1,4,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,20,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
12,1Q,7,57,3,1,10,PHI,TEN,PHI24,run,9,0,113t Weak Run 24 Pistol,113t,Weak,Pistol,1-10poss,True 34,Nickel Personnel,Press-1,No Blitz,None,None,Normal,DT Alexander Tamayo,,,None,None,False,2,4,17,,,,,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,76,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,1Q,7,21,3,2,1,PHI,TEN,PHI33,run,0,0,113t Weak Run 20 Normal,113t,Weak,Normal,1or2-1-2,True 34,Nickel Personnel,Press-1,No Blitz,None,None,Normal,DE Ashton Cline,OLB Gerald Randle,,None,None,False,2,0,18,,,,,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,67,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,1Q,6,55,3,3,1,PHI,TEN,PHI33,run,2,0,122 I Run 23 Normal,122,I,Normal,3or4-1,True 34,Regular Personnel,"Man to Man, Buzz",No Blitz,None,None,3short,ILB Wayne Barton,,,None,None,False,2,3,19,,,,,0,2053,Exhibition Week 4,Philadelphia,PA,71,10 ,fair,67,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
