,quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
0,1Q,15,0,0,1,10,NYJ,ARI,NYJ25,scramble,15,0,023 Empty Pass RXZ S44 Normal,023,Empty,Normal,1-10poss,43 Under,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,CB Giovanni Coles,,MLB W.Bush,None,None,False,,,1,S44,RXZ,S,4,0,2053,Exhibition Week 5,New York (A),NJ,72,2 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1Q,14,23,0,1,10,NYJ,ARI,NYJ40,pass,8,1,212 Pro Pass XAYZ FF27 Shotgun,212,Pro,Shotgun,1-10earn,43 Under,Regular Personnel,Cover-4,No Blitz,None,None,Normal,OLB Isaiah Stevens,ILB Brandon Momberg,,None,None,False,,,2,FF27,XAYZ,F,F,0,2053,Exhibition Week 5,New York (A),NJ,72,2 ,fair,60,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,1Q,13,38,0,2,2,NYJ,ARI,NYJ48,pass,0,0,113 Weak Pass RAXYZ 5SS09 Pistol,113,Weak,Pistol,1or2-1-2,43 Under,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,,,MLB W.Bush,None,None,False,,,3,5SS09,RAXYZ,5,S,0,2053,Exhibition Week 5,New York (A),NJ,72,2 ,fair,52,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
3,1Q,13,30,0,3,2,NYJ,ARI,NYJ48,pass,-7,0,122 I Pass TXZA 1SWF Normal,122,I,Normal,3or4-2,43 Under,Regular Personnel,Press-1,No Blitz,Double,None,3short,,,,None,None,False,,,4,1SWF,TXZA,1,S,0,2053,Exhibition Week 5,New York (A),NJ,72,2 ,fair,52,NORMAL,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1Q,12,40,1,1,10,ARI,NYJ,ARI28,pass,3,0,014 Shotgun Pass RZXYS 26S21 Normal,014,Shotgun,Normal,1-10poss,34 Eagle,Dime Personnel,Cover-3 Cloud,No Blitz,None,None,Normal,OLB Lance Simons,,,None,None,False,,,6,26S21,RZXYS,2,6,0,2053,Exhibition Week 5,New York (A),NJ,72,2 ,fair,72,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
5,1Q,11,59,1,2,7,ARI,NYJ,ARI31,pass,0,0,113 Weak Pass XYZAR 722SW Shotgun,113,Weak,Shotgun,1or2-6-9,34 Eagle,Nickel Personnel,Cover-2,No Blitz,Double,None,Normal,,,,None,None,False,,,7,722SW,XYZAR,7,2,0,2053,Exhibition Week 5,New York (A),NJ,72,2 ,fair,69,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,1Q,11,50,1,3,7,ARI,NYJ,ARI31,pass,22,14,122 I Pass YXZAT 22115 Normal,122,I,Normal,3or4-6-7,34 Eagle,Regular Personnel,Cover-3 Cloud,No Blitz,None,None,3long,ILB Darien Rodgers,,,None,None,False,,,8,22115,YXZAT,2,2,0,2053,Exhibition Week 5,New York (A),NJ,72,2 ,fair,69,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7,1Q,11,4,1,1,10,ARI,NYJ,NYJ47,run,5,0,104 I Run 21 Normal,104,I,Normal,1-10earn,34 Eagle,Dime Personnel,Cover-2,No Blitz,None,None,Normal,S Jamie Collier,,,None,None,False,2,1,9,,,,,0,2053,Exhibition Week 5,New York (A),NJ,72,2 ,fair,47,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,1Q,10,29,1,2,5,ARI,NYJ,NYJ42,pass,5,0,122 Weak Pass XAYZT S01S0 Pistol,122,Weak,Pistol,1or2-3-5,34 Eagle,Regular Personnel,Cover-3 Cloud,No Blitz,None,None,Normal,OLB Ezekiel Malone,,,None,None,False,,,10,S01S0,XAYZT,S,0,0,2053,Exhibition Week 5,New York (A),NJ,72,2 ,fair,42,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9,1Q,9,54,1,1,10,ARI,NYJ,NYJ37,pass,7,0,113 Strong Pass XRZA 2S0S Pistol,113,Strong,Pistol,1-10earn,34 Eagle,Nickel Personnel,Cover-2,No Blitz,Double,None,Normal,CB Frederick Tanaka,OLB Efrain Dunlap,,None,None,False,,,11,2S0S,XRZA,2,S,0,2053,Exhibition Week 5,New York (A),NJ,72,2 ,fair,37,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
