,quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
0,1Q,14,19,0,1,10,CAR,JAX,CAR24,run,4,0,212 Pro Run 20 Pistol,212,Pro,Pistol,1-10poss,43 Over,Regular Personnel,Cover-2,No Blitz,None,None,Normal,S Oscar Hansen,ILB Brayden Foster,,None,None,False,2,0,1,,,,,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,76,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1Q,13,56,0,2,6,CAR,JAX,CAR28,pass,6,1,113t Strong Pass AZXYR S7S11 Normal,113t,Strong,Normal,1or2-6-9,43 Over,Nickel Personnel,Cover-4,No Blitz,None,None,Normal,OLB Orlando Brewer,,,None,None,False,,,2,S7S11,AZXYR,S,7,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,72,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2,1Q,13,21,0,1,10,CAR,JAX,CAR34,pass,23,23,113 Strong Pass AYXZR S4786 Shotgun,113,Strong,Shotgun,1-10earn,43 Over,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,CB Vince Rome,S Oscar Hansen,MLB B.Foster,None,None,False,,,3,S4786,AYXZR,S,4,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,66,NORMAL,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3,1Q,12,38,0,1,10,CAR,JAX,JAX43,pass,0,0,113 Weak Pass XRYZA 3F4S3 Shotgun,113,Weak,Shotgun,1-10earn,43 Over,Nickel Personnel,Cover-3 Sky,No Blitz,None,None,Normal,CB Vince Rome,,,None,None,False,,,4,3F4S3,XRYZA,3,F,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,43,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,1Q,12,0,0,2,10,CAR,JAX,JAX43,run,6,0,113t Strong Run 22 Shotgun,113t,Strong,Shotgun,1or2-10-12,43 Over,Nickel Personnel,Cover-4,No Blitz,None,None,Normal,CB Vince Rome,ILB Brayden Foster,,None,None,False,2,2,5,,,,,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,43,NORMAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,1Q,11,38,0,3,4,CAR,JAX,JAX37,pass,14,4,113 Strong Pass RXZA 1101 Normal,113,Strong,Normal,3or4-4-5,43 Over,Nickel Personnel,Cover-3 Sky,No Blitz,None,None,3long,CB Dennis Castellanos,,,None,None,False,,,6,1101,RXZA,1,1,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,37,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
6,1Q,11,14,0,1,10,CAR,JAX,JAX23,run,-2,0,212 Pro Run 34 Normal,212,Pro,Normal,1-10earn,43 Over,Regular Personnel,Cover-2,No Blitz,None,None,Normal,OLB Everett Gabberty,,,None,None,False,3,4,7,,,,,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,23,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7,1Q,10,42,0,2,12,CAR,JAX,JAX25,pass,15,4,122 Weak Pass YTXZA WW04S Shotgun,122,Weak,Shotgun,1or2-10-12,43 Over,Regular Personnel,Cover-2,Blitz 1,None,None,Normal,S Oscar Hansen,,WLB E.Gabberty,None,None,False,,,8,WW04S,YTXZA,W,W,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,25,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8,1Q,10,2,0,1,10,CAR,JAX,JAX10,run,-1,0,122 I Run 17 Normal,122,I,Normal,1-10earn,43 Over,Regular Personnel,Cover-1,No Blitz,None,None,Normal,DE Jimmie Doman,,,None,None,False,1,7,9,,,,,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,10,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,1Q,9,30,0,2,11,CAR,JAX,JAX11,pass,11,0,113 Strong Pass AYXZR S4786 Shotgun,113,Strong,Shotgun,1or2-10-12,43 Over,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,,,MLB B.Foster,None,None,False,,,10,S4786,AYXZR,S,4,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,11,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
10,1Q,8,49,1,1,10,JAX,CAR,JAX24,pass,-4,0,113t Strong Pass AZXYR S6SSW Shotgun,113t,Strong,Shotgun,1-10poss,True 34,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,S Lukas Gadsden,CB Drew O'Toole,WLB C.Becker,None,None,False,,,13,S6SSW,AZXYR,S,6,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,76,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
11,1Q,8,3,1,2,14,JAX,CAR,JAX20,pass,13,0,122 Strong Pass ZYXAT S62SW Shotgun,122,Strong,Shotgun,1or2-13+,True 34,Regular Personnel,Cover-2,Blitz 1,Double,None,Normal,ILB Bryant Willis,,WLB C.Becker,None,None,False,,,14,S62SW,ZYXAT,S,6,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,80,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
12,1Q,7,34,1,3,1,JAX,CAR,JAX33,run,-4,0,113t Pro Run 24 Normal,113t,Pro,Normal,3or4-1,True 34,Nickel Personnel,"Man to Man, Buzz",No Blitz,None,None,3short,ILB Jimmy Blackburn,DE William Woodson,,None,None,False,2,4,15,,,,,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,67,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13,1Q,6,49,2,1,15,CAR,JAX,CAR27,run,5,0,104 Pro Run 21 Normal,104,Pro,Normal,1or2-13+,43 Over,Dime Personnel,Press-1,No Blitz,None,None,Normal,DT Bernard Worthington,DE Joel Dearth,,None,None,False,2,1,18,,,,,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,73,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,1Q,6,12,2,2,10,CAR,JAX,CAR32,pass,0,0,122 I Pass YZXAT 1S230 Normal,122,I,Normal,1or2-10-12,43 Over,Regular Personnel,Cover-4,No Blitz,None,None,Normal,,,,None,None,False,,,19,1S230,YZXAT,1,S,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,68,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
15,1Q,6,6,2,3,10,CAR,JAX,CAR32,pass,7,0,212 Pro Pass XYZA 402S Shotgun,212,Pro,Shotgun,3or4-10-12,43 Over,Regular Personnel,Cover-4,No Blitz,None,None,3long,ILB Brayden Foster,OLB Everett Gabberty,,None,None,False,,,20,402S,XYZA,4,0,0,2053,Exhibition Week 3,Carolina,NC,70,9 ,fair,68,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
