,quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
0,1Q,14,29,0,1,10,MIN,MIA,MIN26,run,4,0,113t I Run 27 Normal,113t,I,Normal,1-10poss,True 34,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,OLB Howie Fremont,,,None,None,False,2,7,1,,,,,0,2053,Exhibition Week 2,Miami,FL,91,7 ,fair,74,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1Q,13,53,0,2,6,MIN,MIA,MIN30,pass,30,22,113 Weak Pass AXYZR 1504S Normal,113,Weak,Normal,1or2-6-9,True 34,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,ILB Austin Barber,,WLB F.Mendheim,None,None,False,,,2,1504S,AXYZR,1,5,0,2053,Exhibition Week 2,Miami,FL,91,7 ,fair,70,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,1Q,13,15,0,1,10,MIN,MIA,MIA40,pass,3,0,113 Weak Pass XRYZA F508S Normal,113,Weak,Normal,1-10earn,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,CB Rich Givens,DE Norbert O'Donnell,SILB A.Barber,None,None,False,,,3,F508S,XRYZA,F,5,0,2053,Exhibition Week 2,Miami,FL,91,7 ,fair,40,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3,1Q,12,41,0,2,7,MIN,MIA,MIA37,pass,0,0,113 Weak Pass AXYZR SD4SF Normal,113,Weak,Normal,1or2-6-9,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,,,WLB F.Mendheim,None,None,False,,,4,SD4SF,AXYZR,S,D,0,2053,Exhibition Week 2,Miami,FL,91,7 ,fair,37,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
4,1Q,12,32,0,3,7,MIN,MIA,MIA37,pass,2,0,113 Weak Pass XRYZA 7F24S Normal,113,Weak,Normal,3or4-6-7,True 34,Nickel Personnel,Cover-3 Cloud,Blitz 1,None,None,3long,OLB Glenn Cote,ILB Marshall Thompson,WLB B.Reid,None,None,False,,,5,7F24S,XRYZA,7,F,0,2053,Exhibition Week 2,Miami,FL,91,7 ,fair,37,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
5,1Q,11,38,1,1,10,MIA,MIN,MIA06,run,6,0,113 I Run 23 Normal,113,I,Normal,1-10poss,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,OLB Tanner Moss,,,None,None,False,2,3,7,,,,,0,2053,Exhibition Week 2,Miami,FL,91,7 ,fair,94,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,1Q,10,55,1,2,4,MIA,MIN,MIA12,run,2,0,113 Pro Run 25 Normal,113,Pro,Normal,1or2-3-5,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DE Gilbert Crook,,,None,None,False,2,5,8,,,,,0,2053,Exhibition Week 2,Miami,FL,91,7 ,fair,88,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,1Q,10,14,1,3,2,MIA,MIN,MIA14,run,6,0,113 Strong Run 26 Normal,113,Strong,Normal,3or4-2,43 Over,Nickel Personnel,"Man to Man, Buzz",No Blitz,None,None,3short,OLB Tanner Moss,CB Peter Ginwright,,None,None,False,2,6,9,,,,,0,2053,Exhibition Week 2,Miami,FL,91,7 ,fair,86,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,1Q,9,48,1,1,10,MIA,MIN,MIA20,pass,0,0,113 Pro Pass RZX 642 Normal,113,Pro,Normal,1-10earn,43 Over,Nickel Personnel,Cover-2,Blitz 1,Double,None,Normal,,,MLB P.Mathis,None,None,False,,,10,642,RZX,6,4,0,2053,Exhibition Week 2,Miami,FL,91,7 ,fair,80,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
9,1Q,9,42,1,2,10,MIA,MIN,MIA20,pass,3,0,113 Strong Pass RXZ 192 Pistol,113,Strong,Pistol,1or2-10-12,43 Over,Nickel Personnel,Cover-2,Blitz 1,Double,None,Normal,S Corwin Clancy,CB Tyler Diaz,NB P.Ginwright,None,None,False,,,11,192,RXZ,1,9,0,2053,Exhibition Week 2,Miami,FL,91,7 ,fair,80,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
