,quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
0,1Q,14,11,0,1,10,BAL,NYG,BAL23,pass,15,12,131 Pro Pass TYZAU 1341S Normal,131,Pro,Normal,1-10poss,43 Under,Regular Personnel,Press-2,Blitz 1,None,None,Normal,S Jerome Swafford,OLB Arnie Wilcox,MLB G.Miller,None,None,False,,,1,1341S,TYZAU,1,3,0,2053,Exhibition Week 5,Baltimore,MD,73,9 ,rain,77,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,1Q,13,31,0,1,10,BAL,NYG,BAL38,pass,10,2,113 Strong Pass ZXYAR 21322 Normal,113,Strong,Normal,1-10earn,43 Under,Nickel Personnel,Cover-3 Cloud,Blitz 1,None,None,Normal,S Harry Florez,,MLB G.Miller,None,None,False,,,2,21322,ZXYAR,2,1,0,2053,Exhibition Week 5,Baltimore,MD,73,9 ,rain,62,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,1Q,12,56,0,1,10,BAL,NYG,BAL48,run,6,0,113 Weak Run 22 Shotgun,113,Weak,Shotgun,1-10earn,43 Under,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,OLB Daquan Gordon,DT Amos McElroy,,None,None,False,2,2,3,,,,,0,2053,Exhibition Week 5,Baltimore,MD,73,9 ,rain,52,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,1Q,12,15,0,2,4,BAL,NYG,NYG46,pass,24,17,113t Strong Pass XZYAR 102S3 Normal,113t,Strong,Normal,1or2-3-5,43 Under,Nickel Personnel,Cover-3 Cloud,Blitz 1,None,None,Normal,CB Dwayne Edwards,,WLB D.Gordon,None,None,False,,,4,102S3,XZYAR,1,0,0,2053,Exhibition Week 5,Baltimore,MD,73,9 ,rain,46,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,1Q,11,46,0,1,10,BAL,NYG,NYG22,pass,0,0,113t Pro Pass RAXYZ 21FFS Normal,113t,Pro,Normal,1-10earn,43 Under,Nickel Personnel,Cover-3 Cloud,Blitz 1,None,None,Normal,,,MLB G.Miller,None,None,False,,,5,21FFS,RAXYZ,2,1,0,2053,Exhibition Week 5,Baltimore,MD,73,9 ,rain,22,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
5,1Q,11,42,0,2,10,BAL,NYG,NYG22,run,1,0,212 Pro Cntr. 12 Shotgun,212,Pro,Shotgun,1or2-10-12,43 Under,Regular Personnel,Press-1,No Blitz,None,Spy,Normal,OLB Arnie Wilcox,,,None,None,False,1,2,6,,,,,0,2053,Exhibition Week 5,Baltimore,MD,73,9 ,rain,22,NORMAL,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
6,1Q,11,5,0,3,9,BAL,NYG,NYG21,pass,0,0,014 Empty Pass RXZS 6726 Normal,014,Empty,Normal,3or4-8-9,43 Under,Dime Personnel,Cover-4,No Blitz,None,None,3long,,,,None,None,False,,,7,6726,RXZS,6,7,0,2053,Exhibition Week 5,Baltimore,MD,73,9 ,rain,21,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
7,1Q,10,46,1,1,10,NYG,BAL,NYG23,run,12,0,104 Strong Run 23 Shotgun,104,Strong,Shotgun,1-10poss,True 34,Dime Personnel,Cover-2,No Blitz,None,None,Normal,OLB Devan Cole,,,None,None,False,2,3,9,,,,,0,2053,Exhibition Week 5,Baltimore,MD,73,9 ,rain,77,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,1Q,10,22,1,1,10,NYG,BAL,NYG35,pass,0,0,113t Strong Pass ARXZ S384 Normal,113t,Strong,Normal,1-10earn,True 34,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,,,WLB D.Cole,None,None,False,,,10,S384,ARXZ,S,3,0,2053,Exhibition Week 5,Baltimore,MD,73,9 ,rain,65,NORMAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9,1Q,10,13,1,2,10,NYG,BAL,NYG35,pass,0,0,203 Strong Pass ZBXRA 4127S Normal,203,Strong,Normal,1or2-10-12,True 34,Nickel Personnel,"Press-1, Buzz",No Blitz,None,None,Normal,,,,None,None,False,,,11,4127S,ZBXRA,4,1,0,2053,Exhibition Week 5,Baltimore,MD,73,9 ,rain,65,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
