quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,15,0,0,1,10,BUF,CLE,BUF25,scramble,6,0,122 Weak Pass TZXYA 44D0S Normal,122,Weak,Normal,1-10poss,34 Eagle,Regular Personnel,Press-1,No Blitz,None,None,Normal,S Jeremiah Diekoff,,,None,None,False,,,1,44D0S,TZXYA,4,4,0,2053,Week 3,Cleveland,OH,59,10 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,14,28,0,2,4,BUF,CLE,BUF31,run,3,0,113t Strong Run 26 Normal,113t,Strong,Normal,1or2-3-5,34 Eagle,Nickel Personnel,Press-1,No Blitz,None,None,Normal,ILB Thurman Sims,,,None,None,False,2,6,2,,,,,0,2053,Week 3,Cleveland,OH,59,10 ,fair,69,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,46,0,3,1,BUF,CLE,BUF34,pass,29,7,221 Pro Pass YBTZA 8145F Normal,221,Pro,Normal,3or4-1,34 Eagle,Regular Personnel,Press-1,No Blitz,None,None,3short,S J,,,None,None,False,,,3,8145F,YBTZA,8,1,0,2053,Week 3,Cleveland,OH,59,10 ,fair,66,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,13,5,0,1,10,BUF,CLE,CLE37,pass,9,0,023 Empty Pass TYXZR 16001 Normal,023,Empty,Normal,1-10earn,34 Eagle,Nickel Personnel,Press-2,No Blitz,None,None,Normal,OLB Carter Spry,CB Miguel Blufer,,None,None,False,,,4,16001,TYXZR,1,6,0,2053,Week 3,Cleveland,OH,59,10 ,fair,37,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,12,20,0,2,1,BUF,CLE,CLE28,scramble,28,0,122 Strong Pass XTYZA 13180 Normal,122,Strong,Normal,1or2-1-2,34 Eagle,Regular Personnel,Press-1,No Blitz,None,None,Normal,,,,None,None,False,,,5,13180,XTYZA,1,3,0,2053,Week 3,Cleveland,OH,59,10 ,fair,28,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1Q,12,7,1,1,10,CLE,BUF,CLE25,pass,0,0,023 Shotgun Pass YTXZR WW10D Normal,023,Shotgun,Normal,1-10poss,34 Eagle,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,,,WLB Q.Stevens,None,None,False,,,8,WW10D,YTXZR,W,W,0,2053,Week 3,Cleveland,OH,59,10 ,fair,75,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1Q,12,1,1,2,10,CLE,BUF,CLE25,run,4,0,230 I Run 23 Normal,230,I,Normal,1or2-10-12,34 Eagle,Regular Personnel,"Man to Man, Buzz",No Blitz,None,None,Normal,ILB Clyde Rivera,ILB Oscar Burks,,None,None,False,2,3,9,,,,,0,2053,Week 3,Cleveland,OH,59,10 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,32,1,3,6,CLE,BUF,CLE29,pass,5,0,122 Weak Pass TYXZ 1199 Normal,122,Weak,Normal,3or4-6-7,34 Eagle,Regular Personnel,Cover-2,Blitz 1,None,None,3long,S Louie Rigney,,WLB C.Vega,None,None,False,,,10,1199,TYXZ,1,1,0,2053,Week 3,Cleveland,OH,59,10 ,fair,71,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,56,2,1,10,BUF,CLE,BUF20,run,6,0,122 Strong Run 24 Normal,122,Strong,Normal,1-10poss,34 Eagle,Regular Personnel,Press-1,No Blitz,None,None,Normal,S Matthew Wilkins,ILB Thurman Sims,,None,None,False,2,4,12,,,,,0,2053,Week 3,Cleveland,OH,59,10 ,fair,80,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,15,2,2,4,BUF,CLE,BUF26,pass,0,0,113t Strong Pass YAXZR 4F45D Normal,113t,Strong,Normal,1or2-3-5,34 Eagle,Nickel Personnel,Press-1,No Blitz,None,None,Normal,,,,None,None,False,,,13,4F45D,YAXZR,4,F,0,2053,Week 3,Cleveland,OH,59,10 ,fair,74,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
